episode_id,num_actions,duration_s,sl_major_rev,ef_major_rev,total_major_rev,sl_range,ef_range,sl_mean_v,ef_mean_v
cylinder__048_cylinder,470,17.1,3,0,3,118.1,100.9,0.829,0.697
box__057_box,541,19.6,2,0,2,139.8,133.8,0.892,0.825
bag__089_bag,103,5.5,0,0,0,1.5,2.0,0.259,0.308
bag__092_bag,105,5.2,0,0,0,1.2,1.7,0.252,0.257
bag__096_bag,124,4.5,0,0,0,2.2,1.6,0.33,0.356
box__064_box,146,6.2,0,0,0,1.9,3.0,0.332,0.306
box__085_box,103,5.2,0,0,0,1.4,1.9,0.264,0.284
box__099_box,177,6.4,0,0,0,3.4,3.1,0.371,0.325
brown__077_brown,421,15.7,0,0,0,121.8,109.1,1.042,0.905
brown__091_brown,122,5.8,0,0,0,1.3,1.3,0.267,0.243
brown__098_brown,126,6.0,0,0,0,2.2,1.9,0.343,0.284
brown__105_brown,151,6.9,0,0,0,1.8,2.0,0.314,0.309
cylinder__090_cylinder,176,8.7,0,0,0,2.6,2.3,0.399,0.366
cylinder__097_cylinder,160,8.0,0,0,0,1.6,2.1,0.346,0.407
cylinder__104_cylinder,118,5.7,0,0,0,1.7,2.2,0.341,0.321
purse__081_purse,126,4.4,0,0,0,3.2,3.3,0.329,0.294
roll__059_roll,597,22.0,0,0,0,136.6,133.3,0.789,0.738
roll__066_roll,177,6.5,0,0,0,2.2,3.3,0.301,0.304
roll__087_roll,225,8.2,0,0,0,38.9,26.1,0.688,0.577
roll__094_roll,104,4.3,0,0,0,1.5,1.8,0.329,0.302
