action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.84,0,50,,-4.37,-102.26,89.86,72.51,-0.93,1.16
2,1.87,1,49,0.908,-4.4,-102.48,89.81,71.6,-0.85,1.06
3,1.91,2,48,0.854,-4.69,-102.37,90.13,70.75,-0.84,1.01
4,1.94,3,47,0.816,-4.68,-102.56,90.43,69.93,-0.87,1.07
5,1.97,4,46,0.903,-4.81,-102.47,90.19,69.03,-0.79,1.04
6,2.01,5,45,0.477,-4.69,-102.02,90.67,68.63,-0.89,0.95
7,2.04,6,44,0.667,-4.83,-102.38,90.89,67.96,-0.88,1.03
8,2.07,7,43,0.469,-4.86,-102.48,90.63,67.49,-0.89,1.02
9,2.11,8,42,0.690,-4.88,-102.54,90.93,66.8,-1.01,0.98
10,2.14,9,41,0.767,-4.77,-102.32,91.12,66.03,-0.9,0.99
11,2.17,10,40,0.527,-5.1,-102.5,91.17,65.51,-1.04,0.98
12,2.21,11,39,0.477,-4.85,-102.22,90.83,65.03,-1.03,1.02
13,2.24,12,38,0.269,-4.96,-102.0,90.92,64.76,-1.08,1.05
14,2.27,13,37,0.970,-4.89,-102.48,89.95,64.45,-1.05,1.1
15,2.31,14,36,0.166,-4.98,-102.51,90.07,64.29,-1.07,1.01
16,2.34,15,35,0.709,-5.1,-102.72,90.78,63.97,-1.18,1.04
17,2.37,16,34,0.702,-4.93,-102.01,90.28,63.92,-1.03,0.95
18,2.41,17,33,0.086,-4.88,-102.06,90.33,63.98,-1.09,1.03
19,2.44,18,32,0.709,-5.04,-102.77,90.58,64.1,-1.13,0.92
20,2.47,19,31,0.388,-4.9,-103.15,90.26,64.2,-1.16,1.08
21,2.51,20,30,0.504,-4.91,-102.65,90.06,64.23,-1.09,0.93
22,2.54,21,29,1.012,-4.94,-102.59,89.04,64.64,-1.08,0.89
23,2.58,22,28,0.193,-4.92,-102.55,89.24,64.67,-1.02,0.94
24,2.61,23,27,0.516,-5.03,-102.69,88.72,64.82,-1.1,0.91
25,2.64,24,26,0.342,-4.99,-102.74,88.38,64.88,-1.13,0.82
26,2.68,25,25,0.607,-5.31,-102.13,88.08,64.97,-1.1,0.77
27,2.71,26,24,0.262,-5.1,-102.39,87.95,64.96,-1.06,0.8
28,2.74,27,23,0.556,-5.29,-102.37,87.39,65.04,-1.05,0.83
29,2.78,28,22,0.364,-5.51,-102.74,87.34,65.0,-1.07,0.84
30,2.81,29,21,0.484,-5.74,-102.25,87.54,65.09,-1.06,0.85
31,2.84,30,20,0.670,-5.76,-101.68,86.87,65.19,-1.06,0.74
32,2.88,31,19,0.578,-5.96,-102.25,86.5,65.21,-0.94,0.81
33,2.91,32,21,1.683,-6.97,-102.42,87.26,63.53,-0.83,0.85
34,2.94,33,20,0.566,-7.02,-102.2,86.69,63.71,-0.88,0.73
35,2.98,34,19,0.454,-6.8,-101.96,86.24,63.79,-0.86,0.79
36,3.01,35,18,0.624,-7.02,-102.3,85.62,63.94,-0.89,0.71
37,3.04,36,17,0.348,-6.87,-102.03,85.27,64.15,-0.87,0.6
38,3.08,37,16,0.273,-6.95,-102.09,84.99,64.36,-0.88,0.7
39,3.11,38,15,0.996,-7.08,-101.93,84.0,64.6,-0.83,0.75
40,3.14,39,14,0.376,-7.16,-102.21,83.64,64.98,-0.97,0.77
41,3.18,40,13,0.576,-7.04,-101.96,83.06,65.09,-1.02,0.71
42,3.21,41,12,0.551,-6.95,-101.89,82.51,65.43,-1.09,0.69
