action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.94,0,50,,-5.53,-101.67,88.65,74.91,-1.22,1.13
2,0.97,1,49,0.482,-5.41,-101.19,88.46,74.62,-1.18,1.14
3,1.00,2,48,0.435,-5.84,-100.84,88.38,74.46,-1.39,1.12
4,1.04,3,47,0.662,-6.51,-101.01,88.51,74.65,-1.21,1.12
5,1.07,4,46,0.292,-6.48,-100.99,88.22,74.49,-1.2,1.23
6,1.10,5,45,0.658,-6.98,-101.65,88.43,74.62,-1.21,1.32
7,1.14,6,44,0.618,-7.6,-101.47,88.18,74.95,-1.26,1.05
8,1.17,7,43,0.666,-7.39,-100.8,87.96,74.87,-1.26,1.05
9,1.20,8,42,0.529,-7.89,-101.33,88.19,74.6,-1.23,1.13
10,1.24,9,41,0.320,-7.9,-101.65,88.16,74.5,-1.22,1.09
11,1.27,10,40,0.568,-8.07,-101.08,88.04,74.06,-1.25,1.14
12,1.30,11,39,0.680,-8.03,-100.71,87.86,73.38,-1.24,1.08
13,1.34,12,38,0.890,-8.11,-101.57,87.88,72.49,-1.22,1.14
14,1.37,13,37,1.151,-7.56,-101.38,88.7,71.34,-1.26,1.13
15,1.40,14,36,0.917,-7.34,-101.2,88.57,70.42,-1.26,1.12
16,1.44,15,35,0.762,-7.1,-101.07,88.85,69.66,-1.25,1.08
17,1.47,16,34,0.571,-6.75,-100.72,88.55,69.09,-1.26,1.07
18,1.50,17,33,0.825,-6.69,-100.87,89.37,68.4,-1.31,1.21
19,1.54,18,32,0.580,-6.56,-101.44,88.79,68.05,-1.22,1.16
20,1.57,19,31,0.578,-6.53,-101.33,88.21,67.78,-1.19,1.18
21,1.61,20,30,0.242,-6.77,-101.41,88.25,67.83,-1.32,1.14
22,1.64,21,29,0.640,-6.66,-101.44,87.61,67.82,-1.22,1.08
23,1.67,22,28,0.397,-6.49,-101.32,88.01,67.78,-1.27,1.04
24,1.71,23,27,0.233,-6.72,-101.48,88.17,67.83,-1.23,1.1
25,1.74,24,26,0.841,-6.78,-101.1,87.33,67.98,-1.31,1.06
26,1.77,25,25,0.539,-6.56,-100.9,86.79,68.13,-1.19,1.14
27,1.81,26,24,0.433,-6.76,-101.33,86.69,68.28,-1.26,1.13
28,1.84,27,23,0.379,-6.65,-101.47,86.31,68.47,-1.22,1.09
29,1.87,28,22,0.318,-6.6,-101.26,86.02,68.15,-1.31,1.01
30,1.91,29,21,0.520,-6.79,-101.52,86.54,68.55,-1.27,1.03
31,1.94,30,20,1.362,-6.26,-100.92,85.18,68.61,-1.39,0.93
32,1.97,31,19,0.917,-6.29,-101.28,86.09,68.5,-1.28,1.0
33,2.01,32,21,1.328,-7.62,-100.68,85.68,69.51,-1.4,0.9
34,2.04,33,20,0.769,-7.45,-101.24,84.91,69.5,-1.41,0.92
35,2.07,34,19,0.209,-7.49,-101.15,84.92,69.71,-1.56,0.96
36,2.11,35,18,0.361,-7.39,-101.38,84.58,70.07,-1.52,0.87
37,2.14,36,17,0.698,-7.37,-100.68,84.11,70.4,-1.67,0.9
38,2.17,37,16,1.072,-7.0,-100.85,83.04,70.48,-1.66,0.75
39,2.21,38,15,0.878,-7.17,-101.02,82.16,70.54,-1.8,0.83
40,2.24,39,14,0.338,-7.02,-101.16,81.94,70.88,-1.96,0.92
41,2.27,40,13,0.567,-7.13,-100.99,81.37,70.9,-2.01,0.87
42,2.31,41,12,0.602,-7.1,-100.38,80.81,70.93,-2.3,0.88
43,2.34,42,11,0.475,-7.25,-100.15,80.34,70.88,-2.4,0.83
44,2.37,43,10,0.548,-7.22,-99.6,80.05,71.21,-2.74,0.81
45,2.41,44,9,0.451,-7.52,-99.62,79.6,71.16,-3.13,0.73
46,2.44,45,8,0.974,-7.65,-99.0,78.63,70.99,-3.61,0.81
47,2.47,46,7,1.074,-7.71,-97.92,78.38,71.07,-4.0,0.78
48,2.51,47,6,0.838,-7.78,-97.26,77.54,71.22,-4.16,0.8
49,2.54,48,5,0.992,-7.88,-96.27,77.27,71.16,-4.41,0.84
50,2.58,49,4,1.562,-8.09,-94.89,75.71,71.12,-4.65,0.79
51,2.61,50,3,3.087,-7.8,-91.81,74.72,71.29,-5.06,0.94
52,2.64,51,2,2.054,-8.27,-89.75,73.41,71.25,-5.22,0.81
53,2.68,52,1,1.861,-8.29,-87.89,72.42,71.21,-5.46,0.69
54,2.84,53,28,12.866,-7.75,-100.76,81.54,68.18,-1.13,0.89
55,2.88,54,27,0.192,-7.94,-100.88,81.41,68.24,-1.1,0.84
56,2.91,55,26,0.631,-7.87,-101.51,81.46,68.5,-1.17,0.92
57,2.94,56,25,0.466,-7.83,-101.04,81.61,68.64,-1.05,0.8
58,2.98,57,24,0.965,-7.71,-101.16,80.64,68.66,-0.97,0.87
59,3.01,58,23,0.498,-8.07,-100.66,80.61,68.6,-0.93,0.74
60,3.04,59,22,0.837,-7.7,-99.82,80.08,68.69,-0.87,0.89
61,3.08,60,21,1.287,-8.03,-98.54,78.93,68.77,-0.92,0.84
62,3.11,61,20,1.493,-7.86,-97.04,78.72,68.61,-0.99,0.98
63,3.14,62,19,2.770,-8.02,-94.27,77.31,68.03,-1.14,0.95
64,3.18,63,18,3.079,-7.72,-91.2,75.14,67.56,-1.32,0.88
65,3.21,64,17,3.211,-8.04,-87.98,72.85,67.13,-1.73,0.73
66,3.24,65,16,2.888,-8.24,-85.1,71.17,66.86,-2.17,0.56
67,3.28,66,15,3.229,-7.8,-81.87,69.28,66.59,-2.45,0.78
68,3.31,67,14,2.826,-8.65,-79.04,67.38,66.34,-2.68,0.54
69,3.34,68,13,2.634,-8.38,-76.41,66.71,66.38,-2.93,0.68
70,3.38,69,12,2.529,-8.76,-73.88,64.3,66.13,-3.2,0.58
71,3.41,70,11,2.400,-8.14,-71.48,64.01,65.84,-3.44,0.5
72,3.44,71,10,2.048,-8.4,-69.43,62.35,65.64,-3.96,0.65
73,3.48,72,9,2.059,-8.57,-67.71,60.29,65.58,-4.42,0.72
74,3.51,73,8,1.574,-8.51,-66.14,59.4,65.43,-4.89,0.84
75,3.54,74,7,1.678,-8.23,-64.46,58.48,65.35,-5.34,0.83
76,3.58,75,6,2.388,-8.61,-62.07,56.99,65.2,-5.82,0.94
77,3.61,76,5,1.528,-8.76,-60.54,56.74,65.21,-6.11,1.03
78,3.65,77,4,1.922,-8.38,-58.96,54.81,65.16,-6.32,1.15
79,3.68,78,3,2.125,-8.2,-56.84,54.54,65.34,-6.49,1.39
80,3.71,79,2,1.641,-8.65,-55.2,53.08,65.39,-6.65,1.78
81,3.75,80,22,13.315,-7.45,-43.78,45.56,70.1,-8.1,15.09
82,3.78,81,21,7.941,-7.31,-39.0,42.42,72.25,-8.83,23.03
83,3.81,82,20,2.571,-7.23,-38.89,42.42,72.27,-8.73,25.6
84,3.85,83,19,2.280,-7.44,-38.53,42.4,72.49,-8.65,27.88
85,3.88,84,18,1.947,-7.36,-37.74,42.74,72.23,-8.61,29.83
86,3.91,85,17,1.537,-7.5,-37.17,42.97,72.29,-8.47,31.37
87,3.95,86,16,0.580,-7.24,-37.38,42.4,72.48,-8.37,31.95
88,3.98,87,15,1.356,-7.25,-36.03,42.12,72.57,-8.25,32.57
89,4.01,88,14,0.722,-7.33,-35.31,42.06,72.15,-8.18,32.88
90,4.05,89,13,1.170,-7.5,-34.14,41.42,72.34,-8.15,32.95
91,4.08,90,12,1.309,-7.42,-32.83,41.53,72.2,-8.12,33.12
92,4.11,91,11,0.786,-7.38,-32.04,41.42,72.31,-8.03,33.53
93,4.15,92,10,1.265,-7.39,-30.78,41.23,72.54,-7.97,34.34
94,4.18,93,9,1.191,-7.41,-29.58,40.05,72.44,-7.8,34.92
95,4.21,94,8,1.354,-7.36,-28.23,40.33,72.65,-7.79,35.28
96,4.25,95,7,1.161,-7.42,-27.07,39.71,72.45,-7.71,35.62
97,4.28,96,6,0.327,-7.58,-26.74,39.43,72.58,-7.69,35.69
98,4.31,97,5,1.721,-7.46,-25.02,39.29,72.41,-7.76,35.76
99,4.35,98,4,1.235,-7.62,-23.79,39.01,72.48,-7.7,35.7
100,4.38,99,3,1.226,-7.66,-22.56,38.29,72.24,-7.67,35.18
101,4.41,100,2,0.850,-7.66,-21.71,38.58,72.19,-7.94,34.98
102,4.45,101,1,0.896,-7.85,-20.82,38.2,71.87,-8.15,34.57
103,4.65,102,27,12.595,-8.31,-33.41,40.54,72.27,-7.32,26.57
104,4.68,103,26,0.991,-8.26,-32.52,40.57,72.11,-7.32,27.56
105,4.72,104,25,1.026,-8.21,-31.5,40.56,72.31,-7.41,28.59
106,4.75,105,24,1.051,-8.36,-31.14,40.63,72.22,-7.38,29.64
107,4.78,106,23,0.942,-8.68,-30.65,40.27,72.5,-7.41,30.58
108,4.82,107,22,0.714,-8.6,-30.85,39.95,72.44,-7.43,31.3
109,4.85,108,21,0.709,-8.87,-30.14,40.45,72.41,-7.44,31.25
110,4.88,109,20,0.893,-8.99,-29.54,39.55,72.44,-7.49,31.01
111,4.92,110,19,0.608,-9.13,-29.15,38.95,72.35,-7.45,30.55
112,4.95,111,18,1.519,-9.32,-27.63,39.52,72.42,-7.56,30.18
113,4.98,112,17,0.664,-8.97,-27.21,38.86,71.96,-7.6,29.97
114,5.02,113,16,1.192,-8.94,-26.01,38.95,71.9,-7.56,30.04
115,5.05,114,15,0.695,-9.22,-25.32,38.66,72.06,-7.36,30.16
116,5.08,115,14,1.009,-9.04,-24.68,37.65,72.07,-7.4,30.25
117,5.12,116,13,0.821,-9.11,-24.35,38.47,72.05,-7.42,30.43
118,5.15,117,12,1.920,-9.25,-22.43,37.25,72.01,-7.31,30.47
119,5.18,118,11,1.309,-9.08,-21.12,37.15,71.97,-7.25,30.54
120,5.22,119,10,0.674,-9.14,-20.45,36.59,71.76,-7.32,30.63
121,5.25,120,9,0.615,-9.22,-19.83,36.1,71.7,-7.1,30.61
122,5.28,121,8,1.133,-9.2,-18.7,35.62,71.7,-7.01,30.86
123,5.32,122,7,0.830,-9.27,-17.87,35.32,71.62,-7.03,31.1
124,5.35,123,6,0.646,-9.29,-17.22,35.14,71.74,-6.94,31.39
125,5.38,124,5,1.251,-9.27,-15.97,34.54,71.41,-6.91,31.53
126,5.42,125,4,0.841,-9.4,-15.13,33.74,71.56,-6.94,31.76
127,5.45,126,3,0.892,-9.5,-14.24,34.31,71.55,-6.95,31.93
128,5.48,127,2,1.223,-9.35,-13.02,33.26,71.42,-6.81,32.06
129,5.52,128,1,0.750,-9.52,-12.27,33.22,71.52,-6.76,32.03
130,5.58,129,22,12.257,-9.75,-0.01,35.21,65.97,-7.8,33.32
131,5.62,130,21,2.675,-9.73,0.58,34.96,65.91,-7.94,30.64
132,5.65,131,20,3.085,-9.48,0.64,34.8,66.02,-7.78,27.56
133,5.69,132,19,3.245,-9.66,0.27,34.95,66.03,-7.74,24.31
134,5.72,133,18,3.150,-9.56,0.66,33.89,65.83,-7.53,21.16
135,5.75,134,17,2.886,-9.61,1.26,33.76,65.81,-7.38,18.28
136,5.79,135,16,2.443,-9.3,0.47,34.47,66.23,-7.31,15.84
137,5.82,136,15,1.959,-9.61,0.71,33.83,65.99,-7.25,13.88
138,5.85,137,14,1.515,-9.54,1.24,33.53,66.05,-7.32,12.36
139,5.89,138,13,0.989,-9.55,1.32,33.41,66.21,-7.45,11.37
140,5.92,139,12,0.651,-9.55,1.42,33.03,66.53,-7.35,10.72
141,5.95,140,11,0.322,-9.62,1.1,32.88,66.85,-7.5,10.53
142,5.99,141,10,0.979,-9.89,2.08,31.9,66.83,-7.49,10.7
143,6.02,142,9,0.306,-9.79,2.19,31.7,67.14,-7.61,10.7
144,6.05,143,8,0.429,-9.9,2.25,31.52,67.57,-7.63,10.64
145,6.09,144,7,0.858,-10.08,1.74,30.66,67.71,-7.71,10.67
146,6.12,145,6,0.642,-10.08,2.37,30.35,68.36,-7.73,10.15
147,6.15,146,5,1.009,-9.96,2.84,29.51,69.36,-7.73,9.76
148,6.19,147,4,0.973,-10.01,2.94,29.19,70.34,-7.98,9.46
149,6.22,148,3,1.456,-10.21,2.4,28.16,71.79,-8.14,9.24
150,6.25,149,2,1.531,-10.14,2.98,26.63,73.05,-8.13,9.17
151,6.29,150,1,1.412,-10.32,2.55,25.65,74.46,-8.3,9.13
152,6.55,151,27,22.664,-10.17,4.51,33.43,68.09,-7.23,31.8
153,6.59,152,26,2.538,-10.12,5.45,32.79,68.18,-7.28,29.26
154,6.62,153,25,4.019,-10.36,5.02,32.57,68.37,-7.39,25.24
155,6.65,154,24,4.170,-10.09,4.42,32.34,68.38,-7.35,21.07
156,6.69,155,23,4.162,-10.11,3.58,31.48,68.26,-7.51,16.91
157,6.72,156,22,3.472,-10.47,4.63,32.1,68.27,-7.27,13.44
158,6.75,157,21,2.050,-10.14,4.74,30.92,68.28,-7.33,11.39
159,6.79,158,20,1.143,-10.58,3.6,31.57,68.47,-7.34,10.32
160,6.82,159,19,0.956,-11.08,4.34,30.62,68.41,-7.5,9.79
161,6.85,160,18,0.536,-11.15,3.8,30.59,68.65,-7.53,9.61
162,6.89,161,17,0.353,-11.5,3.82,30.62,68.99,-7.63,9.4
163,6.92,162,16,0.857,-11.91,2.96,30.25,68.8,-7.49,8.9
164,6.96,163,15,0.376,-12.04,3.34,30.26,69.13,-7.58,8.94
165,6.99,164,14,1.069,-12.29,4.11,29.19,69.31,-7.8,9.15
166,7.02,165,13,0.342,-12.38,3.99,29.48,69.65,-7.63,8.84
167,7.06,166,12,0.526,-12.64,3.46,29.42,70.04,-7.64,8.57
168,7.09,167,11,0.528,-12.63,3.27,28.89,70.43,-7.68,8.48
169,7.12,168,10,0.735,-12.89,3.86,28.63,71.16,-7.84,8.06
170,7.16,169,9,0.750,-13.06,3.29,27.88,71.81,-7.89,7.96
171,7.19,170,8,1.185,-13.18,2.74,27.29,72.99,-7.96,7.93
