action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.77,0,50,,-4.29,-102.45,89.07,75.83,0.1,0.22
2,1.81,1,49,0.304,-4.18,-102.25,88.77,75.87,-0.02,0.18
3,1.84,2,48,0.564,-4.19,-102.82,88.59,75.82,0.02,0.23
4,1.87,3,47,1.079,-4.3,-103.03,89.67,75.82,-0.06,0.22
5,1.91,4,46,0.580,-4.33,-102.97,89.09,75.68,-0.08,0.23
6,1.94,5,45,0.454,-4.45,-102.52,89.13,75.82,0.04,0.15
7,1.97,6,44,0.204,-4.57,-102.5,88.93,75.95,0.04,0.12
8,2.01,7,43,0.264,-4.59,-102.76,88.68,76.06,0.06,0.28
9,2.04,8,42,0.743,-4.62,-102.68,89.43,76.18,0.08,0.19
10,2.07,9,41,0.468,-4.92,-102.21,89.06,76.11,0.1,0.36
11,2.11,10,40,0.396,-5.05,-101.96,88.67,76.28,0.14,0.21
12,2.14,11,39,0.748,-5.27,-102.71,88.49,76.73,0.05,0.25
13,2.17,12,38,0.505,-5.78,-102.41,88.75,76.7,-0.06,0.13
14,2.21,13,37,0.580,-6.36,-102.06,88.18,76.92,-0.28,0.2
15,2.24,14,36,0.931,-7.29,-102.46,88.19,77.14,-0.61,0.23
16,2.27,15,35,0.940,-8.23,-102.19,88.34,77.2,-1.19,0.26
17,2.31,16,34,0.970,-9.17,-102.17,87.37,77.27,-1.66,0.21
18,2.34,17,33,1.013,-10.18,-101.72,87.86,77.26,-2.22,0.3
19,2.37,18,32,0.761,-10.94,-101.5,87.69,77.11,-2.66,0.22
20,2.41,19,31,1.126,-11.61,-101.55,86.93,77.16,-3.78,0.25
21,2.44,20,30,0.775,-12.12,-101.7,87.56,77.36,-4.56,0.32
22,2.48,21,29,0.476,-12.56,-101.53,87.09,77.35,-4.76,0.35
23,2.51,22,28,0.773,-13.33,-102.1,87.27,77.41,-5.23,0.43
24,2.54,23,27,0.428,-13.69,-101.67,87.13,77.28,-5.27,0.44
25,2.58,24,26,0.492,-14.18,-101.66,86.81,77.53,-5.2,0.56
26,2.61,25,25,0.328,-14.51,-101.94,86.93,77.22,-5.22,0.46
