action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.00,0,50,,-5.23,-102.35,89.55,76.87,-0.2,1.13
2,1.04,1,49,0.182,-5.16,-102.29,89.74,76.88,-0.31,1.08
3,1.07,2,48,0.337,-5.39,-102.63,89.72,76.93,-0.28,1.11
4,1.10,3,47,0.123,-5.37,-102.52,89.84,76.9,-0.28,1.07
5,1.14,4,46,0.277,-5.32,-102.32,89.88,77.17,-0.32,1.16
6,1.17,5,45,0.198,-5.18,-102.45,89.68,76.98,-0.3,1.27
7,1.20,6,44,0.372,-5.33,-102.83,90.0,77.01,-0.15,1.19
8,1.24,7,43,0.993,-5.56,-101.83,90.0,77.04,-0.24,1.09
9,1.27,8,42,0.584,-5.45,-102.42,89.71,77.21,-0.24,0.96
10,1.31,9,41,0.334,-5.21,-102.71,90.04,77.12,-0.29,0.98
11,1.34,10,40,0.686,-5.38,-102.59,89.36,77.01,-0.27,0.97
12,1.37,11,39,0.581,-5.15,-102.0,89.65,77.04,-0.31,0.93
13,1.41,12,38,0.659,-5.3,-102.66,89.62,77.05,-0.23,1.09
14,1.44,13,37,0.413,-5.06,-102.25,89.52,77.15,-0.27,0.88
15,1.47,14,36,0.575,-5.01,-102.43,88.95,77.2,-0.22,0.92
16,1.51,15,35,1.439,-5.29,-102.87,90.39,77.16,-0.16,0.85
17,1.54,16,34,1.245,-5.15,-102.82,89.14,77.01,-0.14,0.98
18,1.57,17,33,0.508,-5.06,-102.31,89.51,77.06,-0.1,0.95
19,1.61,18,32,0.405,-5.16,-102.12,89.11,77.19,-0.16,1.06
20,1.64,19,31,0.435,-5.14,-102.13,88.67,77.27,-0.19,0.83
21,1.67,20,30,0.775,-5.28,-102.91,89.04,77.22,-0.23,1.01
22,1.71,21,29,0.585,-5.06,-102.76,89.63,77.14,-0.21,1.06
23,1.74,22,28,0.689,-5.15,-102.07,89.41,77.07,-0.24,1.12
24,1.77,23,27,0.513,-5.23,-102.52,88.9,77.22,-0.27,1.06
25,1.81,24,26,0.262,-4.96,-102.26,88.97,77.03,-0.17,0.91
26,1.84,25,25,0.669,-5.22,-102.37,89.64,77.03,-0.19,0.98
27,1.87,26,24,0.302,-5.29,-102.57,89.94,77.06,-0.24,0.97
28,1.91,27,23,0.593,-5.24,-103.02,89.35,77.15,-0.19,0.93
29,1.94,28,22,0.571,-5.21,-102.45,89.56,77.14,-0.24,0.96
30,1.97,29,21,0.409,-5.24,-102.04,89.51,77.14,-0.28,1.02
31,2.01,30,20,0.550,-5.24,-102.59,89.77,76.97,-0.24,1.04
32,2.04,31,19,0.361,-5.44,-102.95,89.77,77.12,-0.25,0.95
33,2.07,32,18,0.366,-5.35,-102.58,89.8,77.05,-0.32,1.08
34,2.11,33,17,0.125,-5.3,-102.48,89.79,77.18,-0.29,1.05
35,2.14,34,16,0.591,-5.34,-102.5,90.38,77.05,-0.33,1.02
36,2.17,35,15,1.161,-5.27,-102.35,89.22,76.98,-0.24,1.06
37,2.21,36,14,1.243,-5.36,-102.52,90.46,77.14,-0.35,1.14
38,2.24,37,13,1.103,-5.58,-102.74,89.36,77.27,-0.31,0.93
39,2.28,38,12,0.302,-5.27,-102.54,89.15,77.01,-0.17,0.89
40,2.31,39,19,0.720,-5.21,-102.56,89.87,77.62,-0.33,1.0
41,2.34,40,18,0.406,-5.28,-102.16,89.97,77.72,-0.37,0.91
42,2.38,41,17,0.204,-5.35,-102.29,89.79,77.51,-0.35,0.95
43,2.41,42,16,0.559,-5.37,-102.55,90.34,77.64,-0.36,0.93
44,2.44,43,15,0.354,-5.39,-102.19,90.02,77.65,-0.37,1.02
45,2.48,44,14,0.354,-5.34,-102.38,89.66,77.68,-0.4,0.95
46,2.51,45,13,0.359,-5.2,-102.31,90.02,77.6,-0.4,1.05
47,2.54,46,12,0.330,-5.37,-102.15,89.69,77.69,-0.38,0.97
48,2.58,47,11,0.319,-5.36,-102.41,90.01,77.57,-0.39,0.87
49,2.61,48,10,0.200,-5.28,-102.35,89.81,77.61,-0.44,0.99
50,2.64,49,9,0.249,-5.32,-102.11,89.8,77.59,-0.35,0.94
