action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.74,0,50,,-4.36,-101.68,87.74,75.09,-0.96,1.18
2,1.77,1,49,0.440,-4.65,-101.92,87.3,75.14,-0.9,1.2
3,1.81,2,48,0.790,-4.81,-101.13,87.43,74.91,-0.94,1.08
4,1.84,3,47,0.512,-5.25,-101.44,86.92,74.83,-0.92,1.26
5,1.87,4,46,0.182,-5.1,-101.38,86.76,74.65,-0.89,1.22
6,1.91,5,45,0.576,-4.97,-101.4,87.34,74.67,-0.89,1.36
7,1.94,6,44,0.227,-5.06,-101.21,87.4,74.45,-0.99,1.13
8,1.97,7,43,0.619,-4.87,-101.83,87.55,74.45,-0.95,1.18
9,2.01,8,42,0.652,-5.09,-101.17,87.16,74.33,-1.01,1.11
10,2.04,9,41,0.131,-5.11,-101.27,87.29,74.29,-0.96,1.23
11,2.07,10,40,0.348,-5.25,-101.62,87.56,74.27,-0.89,1.33
12,2.11,11,39,0.453,-5.08,-101.64,87.11,74.07,-1.04,1.31
13,2.14,12,38,0.250,-5.32,-101.66,86.86,73.96,-1.01,1.15
14,2.17,13,37,0.397,-5.26,-101.41,87.26,73.78,-0.99,1.19
15,2.21,14,36,0.389,-5.46,-101.4,86.87,73.51,-1.0,1.03
16,2.24,15,35,0.293,-5.27,-101.69,87.1,73.26,-0.99,1.1
17,2.27,16,34,0.561,-5.36,-101.64,86.54,73.06,-1.0,1.12
18,2.31,17,33,0.355,-5.24,-101.63,86.9,72.79,-1.02,1.17
19,2.34,18,32,0.147,-5.37,-101.78,86.96,72.67,-1.08,1.2
20,2.37,19,31,0.393,-5.3,-101.58,86.92,72.27,-0.96,1.11
21,2.41,20,30,0.398,-5.13,-101.19,86.52,71.91,-1.01,1.01
22,2.44,21,29,1.073,-5.01,-101.55,87.6,71.57,-0.97,1.16
23,2.47,22,28,0.948,-5.19,-101.58,86.65,71.33,-0.95,1.08
24,2.51,23,27,0.469,-5.16,-101.19,86.93,70.86,-1.01,1.16
25,2.54,24,26,0.277,-5.02,-101.3,86.81,70.58,-1.1,1.18
26,2.57,25,25,0.442,-5.25,-101.68,87.25,70.19,-1.05,1.12
27,2.61,26,24,0.687,-5.19,-101.56,86.57,69.97,-1.03,1.06
28,2.64,27,23,0.305,-5.04,-101.42,86.31,69.67,-1.07,1.05
29,2.67,28,22,0.408,-5.25,-101.56,86.72,69.77,-1.04,1.14
30,2.71,29,21,0.342,-5.11,-101.91,86.93,69.78,-1.02,1.02
31,2.74,30,23,3.364,-6.29,-101.19,83.56,69.83,-1.48,1.05
32,2.78,31,22,0.593,-6.63,-101.44,82.97,69.96,-1.56,0.97
33,2.81,32,21,0.386,-6.95,-101.05,82.59,70.09,-1.53,1.05
34,2.84,33,20,0.419,-7.37,-101.08,82.55,70.43,-1.65,1.06
35,2.88,34,19,1.529,-7.45,-100.88,81.02,70.53,-1.61,1.02
36,2.91,35,18,0.368,-7.67,-101.24,81.28,70.73,-1.68,1.02
37,2.94,36,17,1.099,-7.57,-101.34,80.18,70.9,-1.72,0.96
38,2.98,37,16,0.671,-7.6,-100.67,79.56,70.96,-1.65,1.12
39,3.01,38,15,0.360,-7.67,-100.34,79.92,71.03,-1.77,1.12
40,3.04,39,14,0.727,-7.62,-100.55,79.2,71.0,-1.81,1.12
41,3.08,40,13,0.445,-7.68,-100.1,78.83,71.06,-1.84,1.01
42,3.11,41,12,0.156,-7.67,-99.98,78.8,71.22,-1.79,1.01
43,3.14,42,11,0.584,-7.96,-99.72,78.22,71.33,-1.87,0.98
44,3.18,43,10,0.264,-7.99,-99.93,77.96,71.47,-1.94,1.08
45,3.21,44,9,0.301,-8.24,-99.86,77.65,71.51,-2.06,0.99
46,3.24,45,8,0.795,-8.44,-99.06,77.09,71.45,-2.2,1.06
47,3.28,46,7,0.188,-8.48,-98.87,76.97,71.52,-2.31,1.17
48,3.31,47,6,0.533,-8.43,-98.64,76.44,71.56,-2.32,1.02
49,3.34,48,5,0.529,-8.51,-98.11,76.04,71.54,-2.32,1.09
50,3.38,49,4,0.784,-8.39,-97.35,75.26,71.17,-2.52,1.03
51,3.41,50,3,2.929,-9.07,-94.73,72.33,70.64,-3.08,1.08
52,3.44,51,2,1.444,-9.0,-93.29,72.07,70.3,-3.21,1.21
53,3.48,52,1,1.597,-9.09,-91.69,71.57,70.07,-3.35,1.14
54,3.61,53,25,3.604,-6.67,-88.09,69.58,69.52,-1.38,1.18
55,3.64,54,24,1.792,-6.53,-86.3,68.03,68.86,-1.5,1.0
56,3.68,55,23,1.854,-6.67,-84.44,66.98,68.99,-1.48,0.95
57,3.71,56,22,1.108,-6.87,-83.33,65.89,69.01,-1.52,1.11
58,3.75,57,21,2.516,-7.03,-80.82,65.16,68.62,-1.57,1.08
59,3.78,58,20,1.899,-7.17,-78.92,63.92,68.36,-1.66,1.12
60,3.81,59,19,1.909,-7.09,-77.01,62.98,68.27,-1.8,1.07
61,3.85,60,18,1.852,-7.09,-75.16,61.28,68.22,-1.82,1.1
62,3.88,61,17,2.170,-7.19,-72.99,60.4,68.17,-1.87,1.05
63,3.91,62,16,1.892,-7.4,-71.1,59.11,68.15,-1.99,1.08
64,3.95,63,15,1.602,-7.39,-69.62,57.51,68.11,-2.02,1.08
65,3.98,64,14,1.998,-7.36,-67.62,56.53,68.31,-2.25,1.0
66,4.01,65,13,1.650,-6.94,-66.56,54.88,68.42,-2.37,1.18
67,4.05,66,12,1.688,-7.35,-64.87,53.96,68.31,-2.62,1.07
68,4.08,67,11,1.372,-7.27,-63.5,53.11,68.58,-3.03,1.09
69,4.11,68,10,1.308,-7.44,-62.32,51.8,68.99,-3.35,1.06
70,4.15,69,9,1.322,-7.49,-61.0,50.8,69.48,-3.55,1.21
71,4.18,70,8,1.615,-7.27,-59.38,49.33,69.73,-3.55,1.16
72,4.21,71,7,1.478,-7.17,-57.9,48.78,70.16,-3.76,1.14
73,4.25,72,6,1.258,-7.53,-56.65,47.58,70.36,-3.82,1.24
74,4.28,73,5,1.740,-7.37,-54.91,46.33,70.84,-3.94,1.24
75,4.31,74,4,1.331,-7.42,-53.58,45.33,71.09,-4.02,1.37
76,4.35,75,3,1.565,-7.42,-52.01,43.97,71.65,-4.1,1.66
77,4.38,76,2,1.539,-7.49,-50.47,43.51,72.05,-4.25,2.12
78,4.41,77,1,1.689,-7.25,-49.05,41.82,72.31,-4.21,2.84
79,4.51,78,24,19.926,-8.9,-47.94,48.36,74.57,-6.48,22.76
80,4.55,79,23,1.124,-8.73,-48.11,48.69,75.11,-6.35,23.89
81,4.58,80,22,1.131,-8.71,-47.55,48.66,75.45,-6.3,25.02
82,4.61,81,21,0.671,-8.87,-47.09,48.08,75.72,-6.18,25.69
