action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.77,0,50,,-4.55,-102.77,87.56,74.28,-0.0,1.11
2,1.81,1,49,0.849,-4.67,-102.41,86.71,73.85,-0.05,0.97
3,1.84,2,48,0.295,-4.66,-102.46,86.93,73.56,-0.08,1.03
4,1.87,3,47,0.517,-4.49,-102.62,86.41,73.33,-0.14,1.02
5,1.91,4,46,0.243,-4.49,-102.5,86.17,73.16,-0.14,1.06
6,1.94,5,45,0.547,-4.5,-102.51,85.62,72.72,-0.23,0.98
7,1.97,6,44,0.196,-4.53,-102.36,85.43,72.59,-0.3,0.98
8,2.01,7,43,0.426,-4.43,-102.77,85.21,72.17,-0.39,0.93
9,2.04,8,42,0.477,-4.58,-102.3,85.11,71.82,-0.4,0.99
10,2.07,9,41,0.513,-4.58,-102.48,84.62,71.31,-0.49,0.96
11,2.11,10,40,0.715,-4.19,-102.56,84.68,70.59,-0.52,0.93
12,2.14,11,39,0.525,-4.38,-102.67,84.84,70.07,-0.64,0.98
13,2.17,12,38,0.823,-4.36,-102.18,84.02,69.31,-0.64,0.97
14,2.21,13,37,0.582,-4.31,-102.01,84.54,68.73,-0.69,1.0
15,2.24,14,36,0.918,-4.18,-102.49,84.29,67.81,-0.67,0.97
16,2.27,15,35,0.360,-4.18,-102.6,84.17,67.45,-0.73,0.7
17,2.31,16,34,0.758,-4.34,-101.84,83.73,67.21,-0.54,0.88
18,2.34,17,33,0.554,-4.33,-102.4,83.82,67.13,-0.64,0.86
19,2.37,18,32,0.207,-4.33,-102.23,84.03,66.92,-0.57,0.91
20,2.41,19,31,0.539,-4.37,-102.28,83.49,67.13,-0.68,0.97
21,2.44,20,30,0.654,-4.29,-101.89,82.83,67.1,-0.66,0.9
22,2.47,21,29,0.370,-4.25,-102.26,82.66,67.24,-0.6,0.96
23,2.51,22,28,0.319,-4.03,-102.26,82.34,67.33,-0.61,0.89
24,2.54,23,27,0.224,-4.16,-102.37,82.11,67.55,-0.54,0.84
25,2.57,24,26,0.304,-4.26,-102.18,81.81,67.8,-0.65,0.85
26,2.61,25,25,0.241,-4.11,-102.18,81.57,67.76,-0.57,0.86
27,2.64,26,24,2.444,-4.27,-102.43,84.01,66.11,-0.24,0.9
28,2.68,27,23,0.375,-4.38,-102.53,83.64,66.13,-0.23,0.86
29,2.71,28,22,0.495,-4.39,-102.03,83.26,66.14,-0.29,0.88
30,2.74,29,21,0.432,-4.35,-102.06,82.83,66.29,-0.32,0.87
31,2.78,30,20,0.326,-4.41,-102.21,82.51,66.54,-0.38,0.87
32,2.81,31,19,0.688,-4.24,-101.8,81.82,66.72,-0.29,0.88
33,2.84,32,18,0.681,-4.39,-101.88,81.14,67.07,-0.34,0.83
34,2.88,33,17,0.709,-4.58,-101.77,80.43,67.44,-0.37,0.78
35,2.91,34,16,1.100,-4.34,-101.7,79.33,67.79,-0.37,0.82
36,2.94,35,15,0.635,-4.34,-101.67,78.69,68.33,-0.4,0.8
37,2.98,36,14,0.842,-4.43,-101.52,77.85,68.69,-0.38,0.8
38,3.01,37,13,0.492,-4.45,-101.48,77.54,69.19,-0.4,0.79
39,3.04,38,12,1.155,-4.38,-101.34,76.38,69.49,-0.43,0.72
40,3.08,39,11,0.408,-4.4,-100.97,75.97,69.72,-0.36,0.72
41,3.11,40,10,0.552,-4.36,-100.89,75.42,69.95,-0.43,0.78
42,3.14,41,9,0.127,-4.49,-100.82,75.48,70.06,-0.44,0.72
43,3.18,42,8,0.894,-4.47,-100.61,74.59,70.14,-0.41,0.68
44,3.21,43,7,0.429,-4.59,-100.79,74.16,70.27,-0.49,0.74
45,3.24,44,6,0.122,-4.48,-100.67,74.08,70.23,-0.52,0.72
46,3.28,45,5,0.322,-4.66,-100.59,73.76,70.34,-0.54,0.76
47,3.31,46,4,0.490,-4.47,-100.27,73.27,70.3,-0.56,0.84
48,3.34,47,3,0.427,-4.63,-99.84,73.54,70.48,-0.58,0.82
49,3.38,48,2,0.521,-4.56,-99.78,73.02,70.56,-0.54,0.77
50,3.41,49,1,0.840,-4.5,-99.18,72.18,70.66,-0.57,0.78
51,3.54,50,24,5.239,-5.99,-101.53,67.76,75.9,-0.21,1.01
52,3.58,51,23,0.739,-6.07,-100.79,67.64,76.26,-0.09,0.78
53,3.61,52,22,0.702,-5.58,-100.3,66.94,76.45,-0.08,0.86
54,3.64,53,21,0.336,-5.91,-100.28,66.9,76.47,-0.04,0.84
55,3.68,54,20,0.753,-5.48,-99.53,67.62,76.52,-0.11,0.88
56,3.71,55,19,0.984,-5.51,-98.55,67.01,76.28,0.02,0.86
57,3.75,56,18,1.549,-5.46,-97.0,66.51,76.54,-0.04,0.79
58,3.78,57,17,2.070,-5.32,-94.93,65.61,76.11,-0.11,0.92
59,3.81,58,16,1.967,-5.35,-92.96,64.44,76.1,-0.04,0.89
60,3.85,59,15,2.090,-5.16,-90.87,64.12,75.92,-0.03,0.84
61,3.88,60,14,1.874,-5.46,-89.22,62.25,75.52,-0.12,0.65
62,3.91,61,13,1.622,-5.39,-87.6,61.43,75.33,-0.18,0.72
63,3.95,62,12,1.609,-5.49,-85.99,61.01,75.13,-0.33,0.84
64,3.98,63,11,1.820,-5.28,-84.17,59.59,74.87,-0.28,0.66
65,4.01,64,10,1.180,-5.29,-82.99,58.57,74.56,-0.31,0.75
66,4.05,65,9,2.090,-5.37,-80.9,57.79,74.26,-0.31,0.68
67,4.08,66,8,1.402,-5.54,-79.5,56.95,73.88,-0.45,0.66
