action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.77,0,50,,-5.42,-101.44,88.9,76.52,-1.03,1.51
2,1.81,1,49,0.251,-5.19,-101.24,89.15,76.34,-1.0,1.43
3,1.84,2,48,0.343,-5.17,-101.41,88.81,76.34,-1.07,1.39
4,1.87,3,47,0.293,-5.42,-101.53,89.1,76.51,-0.94,1.43
5,1.91,4,46,0.201,-5.22,-101.63,89.21,76.57,-0.99,1.42
6,1.94,5,45,0.200,-5.25,-101.71,89.41,76.54,-1.0,1.42
7,1.97,6,44,0.240,-5.21,-101.48,89.3,76.78,-1.09,1.29
8,2.01,7,43,0.198,-5.02,-101.64,89.47,76.84,-1.01,1.36
9,2.04,8,42,0.491,-5.32,-102.13,89.07,76.8,-1.06,1.36
10,2.07,9,41,0.569,-5.29,-101.56,88.76,76.67,-1.01,1.27
11,2.11,10,40,0.768,-5.12,-102.33,89.27,76.68,-1.05,1.32
12,2.14,11,39,0.348,-5.24,-101.98,89.36,76.79,-0.96,1.41
13,2.17,12,38,0.243,-5.27,-102.22,89.17,76.7,-1.12,1.21
14,2.21,13,37,0.611,-5.36,-101.9,89.78,76.62,-1.01,1.3
15,2.24,14,36,0.424,-5.22,-101.47,89.7,76.89,-1.02,1.43
16,2.27,15,35,0.685,-5.3,-102.16,89.52,76.84,-1.05,1.32
17,2.31,16,34,0.327,-5.15,-102.34,89.19,76.67,-1.03,1.24
18,2.34,17,33,0.428,-5.14,-101.91,88.89,76.77,-1.02,1.34
19,2.38,18,32,0.355,-5.31,-102.27,89.08,76.67,-1.04,1.3
20,2.41,19,31,0.198,-5.23,-102.07,89.24,76.71,-1.13,1.4
21,2.44,20,30,0.740,-5.21,-101.98,88.5,76.73,-1.11,1.23
22,2.48,21,29,0.187,-5.28,-101.83,88.68,76.67,-1.07,1.33
23,2.51,22,28,0.754,-5.1,-101.7,89.44,76.79,-1.12,1.27
24,2.54,23,27,0.819,-5.24,-101.63,88.62,76.7,-1.06,1.33
25,2.58,24,26,0.674,-5.4,-101.91,89.29,76.75,-1.06,1.35
