action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.97,0,50,,-4.76,-102.28,89.34,76.87,-0.12,1.36
2,1.00,1,49,0.669,-4.6,-102.2,88.67,76.94,-0.19,1.23
3,1.04,2,48,0.377,-4.57,-102.18,89.05,76.86,-0.16,1.24
4,1.07,3,47,0.546,-4.6,-102.22,89.6,77.06,-0.08,1.33
5,1.10,4,46,0.802,-4.99,-102.16,88.8,77.06,-0.2,1.17
6,1.14,5,45,1.016,-4.55,-102.35,89.81,76.87,-0.1,1.22
7,1.17,6,44,0.221,-4.61,-102.42,89.59,76.84,-0.12,1.06
8,1.20,7,43,0.234,-4.7,-102.64,89.54,77.07,-0.14,1.18
9,1.24,8,42,0.408,-4.64,-102.23,89.54,76.87,-0.11,1.08
10,1.27,9,41,0.542,-4.65,-102.77,89.51,76.99,-0.13,1.25
11,1.30,10,40,0.205,-4.6,-102.57,89.5,77.01,-0.01,1.14
12,1.34,11,39,0.224,-4.38,-102.73,89.5,76.88,-0.13,1.13
13,1.37,12,38,0.630,-4.49,-102.1,89.33,76.88,-0.07,1.18
14,1.40,13,37,0.782,-4.49,-102.88,89.87,77.01,-0.12,1.06
15,1.44,14,36,0.447,-4.66,-102.87,89.42,76.94,-0.03,1.08
16,1.47,15,35,0.614,-4.6,-102.25,89.4,77.06,-0.19,1.23
17,1.50,16,34,0.162,-4.66,-102.09,89.36,77.17,-0.11,1.33
18,1.54,17,33,0.357,-4.73,-102.39,89.72,76.92,-0.24,1.25
19,1.57,18,32,0.222,-4.57,-102.16,89.75,76.9,-0.21,1.19
20,1.61,19,31,0.322,-4.72,-102.06,90.07,76.84,-0.2,1.16
21,1.64,20,30,0.356,-4.97,-102.02,89.72,77.01,-0.26,1.21
22,1.67,21,29,0.078,-4.92,-102.09,89.75,76.93,-0.21,1.22
23,1.71,22,28,0.265,-4.8,-101.82,89.83,76.81,-0.19,1.21
24,1.74,23,27,0.605,-4.77,-102.43,89.54,76.81,-0.14,1.12
25,1.77,24,26,0.886,-4.91,-103.13,90.43,77.07,-0.18,1.23
26,1.81,25,25,1.353,-4.89,-102.2,89.08,76.89,-0.11,1.13
27,1.84,26,24,0.667,-4.79,-102.42,89.74,76.92,-0.17,1.19
28,1.87,27,23,0.314,-4.68,-102.74,89.87,77.02,-0.18,1.17
29,1.91,28,22,0.434,-4.63,-102.3,89.52,76.88,-0.18,1.2
30,1.94,29,21,0.821,-4.59,-103.12,89.83,76.79,-0.07,1.18
31,1.97,30,20,1.016,-4.75,-102.11,89.48,76.98,-0.11,1.16
32,2.01,31,22,0.300,-4.45,-102.11,89.49,77.07,-0.17,1.26
33,2.04,32,21,0.302,-4.36,-101.91,89.19,77.03,-0.09,1.18
34,2.07,33,20,0.518,-4.49,-102.35,89.71,76.94,-0.23,1.18
35,2.11,34,19,0.210,-4.5,-102.22,89.77,77.15,-0.11,1.21
36,2.14,35,18,0.183,-4.47,-102.08,89.66,76.96,-0.14,1.1
37,2.17,36,17,0.263,-4.32,-102.34,89.51,77.07,-0.15,1.2
38,2.21,37,16,0.430,-4.61,-101.91,89.57,77.11,-0.09,1.26
39,2.24,38,15,0.424,-4.5,-102.33,89.31,76.92,-0.1,1.1
40,2.27,39,14,0.141,-4.6,-102.43,89.45,76.93,-0.1,1.13
41,2.31,40,13,0.157,-4.76,-102.41,89.45,77.01,-0.11,1.14
42,2.34,41,12,0.488,-4.64,-102.04,89.94,77.1,-0.2,1.2
43,2.37,42,11,0.607,-4.68,-102.65,89.92,76.94,-0.13,1.13
44,2.41,43,10,0.274,-4.65,-102.37,89.84,77.07,-0.17,1.09
45,2.44,44,9,0.389,-4.76,-101.99,89.74,77.21,-0.04,1.13
46,2.47,45,8,0.481,-4.53,-102.47,89.84,76.96,-0.18,1.11
47,2.51,46,7,0.341,-4.68,-102.23,89.5,77.02,-0.16,1.12
48,2.54,47,6,0.505,-4.76,-102.2,90.01,77.17,-0.15,1.18
49,2.58,48,5,0.161,-4.65,-102.26,89.84,77.11,-0.13,1.31
50,2.61,49,4,0.143,-4.64,-102.34,89.86,77.01,-0.21,1.17
51,2.64,50,3,0.437,-4.68,-101.9,89.9,77.13,-0.17,1.15
52,2.68,51,2,0.332,-4.64,-102.24,89.76,77.17,-0.07,1.23
53,2.71,52,1,0.193,-4.8,-102.43,89.78,77.31,-0.15,1.3
54,3.61,53,49,0.290,-4.59,-102.14,89.81,77.19,-0.09,1.39
