action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.04,0,50,,-6.03,-101.6,88.29,75.91,-0.23,0.83
2,1.07,1,49,1.086,-6.71,-101.89,87.2,75.52,-0.27,0.93
3,1.10,2,48,0.236,-6.93,-101.69,86.96,75.62,-0.43,1.0
4,1.14,3,47,0.668,-7.17,-101.81,87.63,75.8,-0.59,1.0
5,1.17,4,46,0.218,-7.11,-102.01,87.83,75.6,-0.81,0.92
6,1.20,5,45,0.319,-7.24,-101.7,87.98,75.68,-0.99,0.94
7,1.24,6,44,0.724,-7.0,-101.77,87.26,75.77,-1.13,0.85
8,1.27,7,43,0.849,-6.52,-101.58,88.11,75.34,-1.46,0.94
9,1.30,8,42,0.781,-6.67,-102.36,87.96,75.58,-1.68,0.9
10,1.34,9,41,0.513,-6.54,-101.85,87.55,75.48,-1.81,0.89
11,1.37,10,40,0.339,-6.51,-101.58,87.21,75.48,-2.04,0.88
12,1.40,11,39,0.590,-6.71,-102.17,87.47,75.31,-2.12,0.93
13,1.44,12,38,0.429,-7.12,-101.74,87.46,75.5,-2.06,0.88
14,1.47,13,37,0.262,-7.34,-101.63,87.49,75.24,-1.99,0.77
15,1.51,14,36,0.334,-7.67,-101.48,87.78,75.55,-2.15,0.9
16,1.54,15,35,0.590,-7.93,-101.69,87.19,75.4,-1.88,0.99
17,1.57,16,34,0.564,-8.49,-101.74,87.06,75.35,-1.85,0.89
18,1.61,17,33,0.104,-8.5,-101.64,86.96,75.27,-1.82,0.87
19,1.64,18,32,0.398,-8.55,-101.52,87.36,75.41,-1.82,0.99
20,1.67,19,31,0.516,-9.06,-101.09,87.74,75.26,-1.83,0.89
21,1.71,20,30,0.698,-8.85,-101.57,87.04,75.27,-1.66,0.94
22,1.74,21,29,0.228,-8.74,-101.34,86.84,75.09,-1.63,0.85
23,1.77,22,28,0.181,-8.72,-101.52,86.96,75.21,-1.65,0.87
24,1.81,23,27,0.205,-8.52,-101.55,87.05,75.05,-1.73,0.91
25,1.84,24,26,0.276,-8.65,-101.83,86.94,74.87,-1.73,0.82
26,1.87,25,25,0.283,-8.37,-101.73,87.04,74.63,-1.68,0.92
