action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.71,0,50,,-3.82,-101.46,88.84,74.54,-0.98,1.06
2,1.74,1,49,0.295,-4.05,-101.3,88.56,74.24,-0.96,1.03
3,1.77,2,48,0.421,-3.88,-101.73,88.34,74.08,-1.06,1.06
4,1.81,3,47,0.321,-4.05,-101.45,88.66,74.11,-1.03,1.05
5,1.84,4,46,0.214,-4.06,-101.29,88.46,73.89,-1.05,1.06
6,1.87,5,45,0.495,-4.34,-101.78,88.27,73.69,-1.15,0.92
7,1.91,6,44,0.257,-4.27,-101.73,88.01,73.69,-1.04,1.06
8,1.94,7,43,0.636,-4.43,-101.9,88.45,73.06,-1.12,0.86
9,1.97,8,42,0.120,-4.52,-101.84,88.53,72.94,-1.15,0.92
10,2.01,9,41,0.751,-4.75,-102.59,88.42,72.45,-1.05,0.98
11,2.04,10,40,0.456,-4.97,-102.27,88.87,72.03,-1.07,0.94
12,2.07,11,39,0.445,-5.33,-101.82,88.49,71.6,-1.12,0.91
13,2.11,12,38,0.594,-5.82,-101.86,87.9,71.24,-1.22,0.97
14,2.14,13,37,0.636,-6.22,-101.22,87.85,70.79,-1.08,1.03
15,2.17,14,36,1.022,-6.88,-102.24,88.41,70.25,-1.26,0.92
16,2.21,15,35,0.955,-7.01,-101.29,88.17,69.8,-1.15,1.01
17,2.24,16,34,0.632,-7.13,-101.69,88.12,69.17,-1.23,0.92
18,2.27,17,33,0.714,-7.28,-101.59,88.84,68.86,-1.24,1.01
19,2.31,18,32,0.599,-7.21,-101.19,89.32,68.26,-1.13,0.91
20,2.34,19,31,0.971,-7.09,-101.58,88.35,67.5,-1.2,1.0
21,2.37,20,30,0.336,-7.33,-101.92,88.57,67.34,-1.18,1.01
22,2.41,21,29,0.762,-7.45,-101.84,89.33,66.88,-1.26,0.96
23,2.44,22,28,0.613,-7.19,-102.06,88.72,66.5,-1.22,1.08
