action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.87,0,50,,-4.58,-99.87,87.12,71.27,-0.98,1.66
2,1.91,1,49,0.701,-4.66,-100.14,86.74,70.57,-1.04,1.69
3,1.94,2,48,0.604,-4.83,-100.12,86.52,69.96,-1.04,1.67
4,1.97,3,47,0.565,-4.75,-100.0,86.95,69.4,-1.07,1.74
5,2.01,4,46,0.277,-4.85,-100.12,87.2,69.12,-0.98,1.77
6,2.04,5,45,0.467,-4.94,-100.24,86.73,68.76,-1.0,1.69
7,2.07,6,44,0.916,-5.07,-100.75,87.65,68.79,-1.09,1.7
8,2.11,7,43,0.917,-5.26,-100.02,86.73,68.58,-1.06,1.6
9,2.14,8,42,0.829,-5.38,-100.71,87.56,68.55,-1.08,1.6
10,2.17,9,41,0.289,-5.66,-100.91,87.61,68.26,-0.96,1.71
11,2.21,10,40,0.862,-5.61,-100.78,86.75,67.94,-0.93,1.63
12,2.24,11,39,0.592,-5.85,-100.74,86.99,67.35,-1.01,1.59
13,2.27,12,38,0.422,-5.84,-100.81,87.22,66.93,-0.89,1.66
14,2.31,13,37,0.532,-5.89,-100.85,87.17,66.4,-0.97,1.75
15,2.34,14,36,0.132,-5.96,-100.73,87.29,66.27,-0.96,1.62
16,2.38,15,35,0.980,-5.97,-99.75,86.9,65.75,-0.98,1.74
17,2.41,16,34,0.782,-6.14,-100.53,87.14,65.47,-0.96,1.77
18,2.44,17,33,0.456,-6.21,-100.49,86.69,65.2,-0.98,1.65
19,2.48,18,32,0.554,-6.11,-100.3,86.95,64.64,-0.89,1.82
20,2.51,19,31,0.256,-6.26,-100.43,86.97,64.39,-0.94,1.71
21,2.54,20,30,0.176,-6.25,-100.58,87.15,64.32,-0.91,1.79
22,2.58,21,29,0.622,-6.16,-101.2,86.62,64.16,-0.97,1.69
23,2.61,22,28,0.489,-6.65,-101.46,86.92,64.34,-0.88,1.76
24,2.64,23,27,0.436,-7.08,-101.41,86.51,64.42,-0.89,1.8
25,2.68,24,26,0.516,-7.24,-101.45,85.99,64.55,-0.87,1.82
26,2.71,25,25,0.809,-7.37,-101.31,86.8,64.68,-0.88,1.74
27,2.74,26,24,0.801,-7.61,-101.08,86.0,65.0,-0.98,1.8
28,2.78,27,23,1.021,-7.85,-102.1,86.42,65.31,-0.96,1.81
29,2.81,28,22,0.606,-8.09,-101.49,86.13,65.67,-0.86,1.71
30,2.84,29,24,1.627,-7.09,-100.63,84.5,67.11,-1.03,1.52
31,2.88,30,23,0.395,-7.0,-100.23,84.13,67.18,-1.11,1.55
32,2.91,31,22,0.402,-7.26,-100.64,83.79,67.29,-1.04,1.49
33,2.94,32,21,0.789,-7.39,-100.6,83.01,67.58,-1.14,1.54
34,2.98,33,20,0.477,-7.42,-100.12,82.95,67.66,-1.01,1.44
35,3.01,34,19,0.684,-7.68,-99.44,82.48,67.89,-1.13,1.52
36,3.04,35,18,0.885,-7.72,-98.69,81.59,67.92,-1.14,1.6
37,3.08,36,17,0.422,-7.71,-98.27,81.21,68.02,-1.1,1.48
38,3.11,37,16,0.917,-7.72,-97.6,80.29,68.01,-1.18,1.5
39,3.14,38,15,0.888,-7.69,-96.71,80.22,67.92,-1.24,1.55
40,3.18,39,14,1.682,-7.97,-95.03,79.29,67.95,-1.28,1.48
41,3.21,40,13,1.667,-7.76,-93.36,78.07,67.79,-1.38,1.46
42,3.24,41,12,2.199,-7.86,-91.16,76.81,67.58,-1.49,1.54
43,3.28,42,11,1.897,-7.86,-89.26,75.82,67.5,-1.63,1.4
44,3.31,43,10,2.927,-8.23,-86.34,74.82,67.35,-1.74,1.41
45,3.35,44,9,1.647,-8.26,-84.83,73.17,67.44,-1.98,1.47
46,3.38,45,8,2.064,-8.52,-82.77,71.94,67.2,-1.97,1.51
47,3.41,46,7,1.800,-8.58,-80.97,71.01,67.08,-2.16,1.48
48,3.45,47,6,1.148,-8.42,-79.95,69.86,66.93,-2.35,1.53
49,3.48,48,5,1.467,-8.68,-78.48,69.26,66.83,-2.49,1.42
50,3.51,49,4,0.994,-8.73,-77.49,68.46,66.65,-2.57,1.53
51,3.55,50,3,11.297,-7.72,-66.19,60.79,66.86,-3.44,1.58
52,3.58,51,2,1.290,-7.71,-64.9,59.59,66.64,-3.67,1.52
53,3.61,52,1,1.169,-7.87,-63.73,58.57,66.71,-3.86,1.42
54,3.75,53,25,34.480,-8.77,-98.21,78.35,68.57,-2.44,1.36
55,3.78,54,24,0.478,-8.29,-98.17,78.17,68.51,-2.36,1.37
56,3.81,55,23,1.736,-8.69,-96.43,77.52,68.66,-2.38,1.49
57,3.85,56,22,1.048,-8.74,-95.38,77.43,68.32,-2.48,1.5
58,3.88,57,21,2.221,-9.0,-93.16,77.01,67.91,-2.5,1.34
59,3.91,58,20,1.785,-8.81,-91.38,75.56,67.41,-2.67,1.33
60,3.95,59,19,3.531,-8.84,-87.85,74.77,67.06,-2.8,1.36
61,3.98,60,18,2.613,-8.63,-85.23,73.06,66.82,-3.13,1.41
62,4.01,61,17,2.572,-8.66,-82.66,71.77,66.53,-3.3,1.32
63,4.05,62,16,2.193,-8.32,-80.47,70.59,66.3,-3.43,1.42
64,4.08,63,15,1.904,-8.51,-78.56,69.44,66.23,-3.55,1.44
65,4.11,64,14,2.328,-8.48,-76.24,67.78,65.93,-3.72,1.37
66,4.15,65,13,2.168,-8.5,-74.07,67.34,65.93,-3.92,1.44
67,4.18,66,12,1.944,-8.44,-72.12,65.68,65.82,-4.01,1.44
68,4.21,67,11,2.676,-8.29,-69.45,64.88,65.92,-4.1,1.58
69,4.25,68,10,1.953,-8.47,-67.49,63.33,65.83,-4.08,1.93
70,4.28,69,9,1.673,-8.57,-65.82,61.98,65.88,-4.07,2.84
71,4.32,70,8,1.954,-8.62,-63.87,61.41,65.96,-4.13,4.44
72,4.35,71,7,2.031,-8.68,-62.32,60.45,65.96,-4.28,6.47
73,4.38,72,6,2.574,-8.95,-60.9,59.56,66.01,-4.5,9.04
74,4.42,73,5,2.466,-9.17,-59.35,58.9,66.01,-4.75,11.51
75,4.45,74,4,2.359,-9.44,-58.39,58.44,66.12,-4.91,13.87
76,4.48,75,3,2.286,-9.52,-57.29,57.89,66.08,-5.17,16.15
