action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.00,0,50,,-4.07,-101.78,86.76,74.58,-0.47,1.11
2,1.04,1,49,0.575,-4.26,-101.2,86.91,74.05,-0.42,0.95
3,1.07,2,48,1.276,-4.23,-101.63,85.64,73.86,-0.56,0.92
4,1.10,3,47,0.994,-4.0,-100.63,85.66,73.22,-0.57,0.95
5,1.14,4,46,1.090,-4.17,-101.72,86.11,73.05,-0.47,1.21
6,1.17,5,45,0.977,-4.01,-102.02,85.13,72.58,-0.47,0.87
7,1.20,6,44,0.189,-4.01,-102.21,85.13,72.5,-0.62,0.92
8,1.24,7,43,0.482,-3.97,-102.33,85.27,72.02,-0.59,1.0
9,1.27,8,42,1.111,-3.88,-101.88,84.16,71.77,-0.51,0.94
10,1.30,9,41,0.770,-4.08,-101.11,84.5,71.96,-0.51,0.91
11,1.34,10,40,1.420,-4.11,-102.53,84.56,71.86,-0.61,1.05
12,1.37,11,39,0.965,-4.08,-101.56,84.17,71.38,-0.64,0.84
13,1.40,12,38,0.637,-4.35,-100.93,84.35,71.62,-0.51,1.01
14,1.44,13,37,1.278,-4.26,-102.21,84.79,71.66,-0.46,1.05
15,1.47,14,36,1.540,-4.46,-100.98,83.25,71.2,-0.59,0.93
16,1.51,15,35,1.342,-4.62,-102.32,84.57,71.18,-0.63,1.06
17,1.54,16,34,1.425,-4.77,-100.89,83.88,70.45,-0.48,0.83
18,1.57,17,33,0.857,-5.17,-101.22,84.74,69.97,-0.59,0.92
19,1.61,18,32,0.777,-4.86,-101.54,83.96,69.35,-0.76,0.86
20,1.64,19,31,0.558,-4.93,-101.52,84.2,68.79,-0.38,0.74
21,1.67,20,30,1.176,-4.82,-102.7,84.67,68.37,-0.51,0.96
22,1.71,21,29,1.701,-4.87,-100.99,84.38,67.83,-0.55,1.03
23,1.74,22,28,0.837,-4.52,-101.83,83.87,67.24,-0.83,0.89
24,1.77,23,27,1.180,-4.36,-100.65,83.53,66.82,-0.66,1.02
25,1.81,24,26,0.525,-4.43,-101.18,83.8,66.36,-0.6,1.11
26,1.84,25,25,0.993,-4.63,-102.17,84.01,65.68,-0.58,0.88
27,1.87,26,24,1.598,-4.54,-101.33,82.41,65.64,-0.58,0.91
28,1.91,27,23,0.997,-4.66,-101.94,83.41,65.31,-0.7,0.95
29,1.94,28,22,1.055,-4.92,-100.88,82.7,65.19,-0.62,1.03
30,1.97,29,21,0.807,-4.4,-101.69,82.32,64.57,-0.63,1.08
31,2.01,30,20,0.580,-4.98,-101.71,82.32,64.57,-0.59,1.05
32,2.04,31,19,0.681,-4.36,-101.49,81.8,63.89,-0.56,1.06
33,2.07,32,21,0.292,-4.07,-101.33,81.81,63.96,-0.64,1.04
34,2.11,33,20,0.410,-4.01,-101.07,81.4,63.8,-0.7,0.99
35,2.14,34,19,0.456,-4.04,-101.53,81.07,63.86,-0.7,1.11
36,2.17,35,18,0.465,-4.06,-101.48,80.61,63.88,-0.67,1.1
37,2.21,36,17,0.596,-3.87,-100.98,80.01,63.74,-0.65,1.17
38,2.24,37,16,0.522,-3.83,-101.5,79.6,63.92,-0.7,0.96
39,2.27,38,15,0.587,-3.88,-100.91,79.04,63.84,-0.68,1.13
40,2.31,39,14,1.264,-4.07,-101.23,77.78,64.01,-0.7,1.09
41,2.34,40,13,0.207,-4.03,-101.12,77.73,64.21,-0.68,1.0
42,2.37,41,12,0.144,-4.06,-101.27,77.66,64.27,-0.7,1.13
43,2.41,42,11,0.650,-4.12,-101.61,77.01,64.48,-0.79,1.07
44,2.44,43,10,1.353,-3.91,-101.83,75.65,64.82,-0.67,1.11
45,2.48,44,9,1.060,-3.9,-100.77,75.18,64.94,-0.91,1.1
46,2.51,45,8,0.826,-3.97,-101.17,74.35,65.46,-0.95,0.96
47,2.54,46,7,0.581,-4.03,-100.91,73.77,65.57,-1.11,0.96
48,2.58,47,6,0.817,-3.89,-101.35,72.95,65.83,-1.07,0.99
49,2.61,48,5,0.811,-4.01,-101.03,72.14,66.22,-1.26,0.97
50,2.64,49,4,0.317,-3.89,-101.2,71.82,66.2,-1.29,0.85
51,2.68,50,3,1.212,-3.99,-100.87,71.13,67.41,-1.77,0.95
52,2.71,51,2,0.766,-3.86,-100.39,70.36,67.61,-1.9,0.88
53,2.74,52,1,1.106,-3.69,-101.02,69.26,67.72,-1.91,0.91
54,3.01,53,27,2.828,-4.12,-99.62,72.09,67.2,-0.85,0.76
55,3.04,54,26,0.530,-4.12,-100.03,71.59,67.73,-0.74,0.77
56,3.08,55,25,1.240,-4.21,-99.56,70.35,68.11,-0.6,0.75
57,3.11,56,24,0.842,-4.35,-100.4,69.94,68.79,-0.66,0.76
58,3.14,57,23,0.660,-4.41,-99.74,69.57,68.9,-0.54,0.68
59,3.18,58,22,1.224,-4.16,-100.07,68.35,69.27,-0.52,0.72
60,3.21,59,21,0.399,-4.14,-99.9,68.06,69.67,-0.49,0.71
61,3.25,60,20,0.564,-3.99,-99.68,67.5,69.66,-0.47,0.73
62,3.28,61,19,0.476,-3.97,-99.62,67.02,69.93,-0.37,0.7
63,3.31,62,18,0.348,-3.8,-99.47,66.67,69.87,-0.36,0.65
64,3.35,63,17,0.623,-3.84,-99.12,66.05,69.95,-0.18,0.62
65,3.38,64,16,0.390,-3.91,-99.51,65.91,70.05,0.0,0.69
66,3.41,65,15,0.287,-3.81,-99.3,65.97,70.18,0.29,0.51
67,3.45,66,14,0.644,-3.76,-98.88,65.32,70.12,0.59,0.48
