action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.97,0,50,,-4.21,-101.28,88.54,72.63,-0.59,0.94
2,1.00,1,49,0.839,-4.26,-100.61,88.62,71.79,-0.6,1.17
3,1.04,2,48,0.802,-4.34,-100.69,88.73,70.99,-0.68,1.12
4,1.07,3,47,0.400,-4.47,-100.94,88.44,70.59,-0.64,1.13
5,1.10,4,46,0.630,-4.47,-101.42,88.28,69.96,-0.64,1.01
6,1.14,5,45,0.554,-4.46,-101.44,88.34,69.4,-0.61,1.06
7,1.17,6,44,0.454,-4.49,-101.56,88.64,68.95,-0.62,0.99
8,1.20,7,43,0.646,-4.62,-101.98,89.28,68.33,-0.59,1.02
9,1.24,8,42,0.975,-4.53,-101.7,88.31,67.95,-0.65,0.94
10,1.27,9,41,0.405,-4.48,-101.67,88.64,67.55,-0.58,0.97
11,1.30,10,40,0.259,-4.47,-101.72,88.9,67.38,-0.6,1.02
12,1.34,11,39,0.931,-4.6,-100.79,88.52,67.32,-0.61,1.1
13,1.37,12,38,0.716,-4.69,-101.5,88.3,67.12,-0.67,1.04
14,1.41,13,37,0.472,-4.49,-101.72,88.32,66.65,-0.52,1.12
15,1.44,14,36,0.406,-4.5,-101.53,87.92,66.53,-0.64,1.19
16,1.47,15,35,0.698,-4.51,-100.97,88.2,65.84,-0.63,1.01
17,1.51,16,34,0.504,-4.53,-101.42,87.99,65.33,-0.61,1.05
18,1.54,17,33,0.529,-4.57,-101.34,87.46,64.96,-0.66,1.0
19,1.57,18,32,0.569,-4.44,-101.84,87.82,64.39,-0.58,1.01
20,1.61,19,31,0.475,-4.51,-101.7,88.19,63.92,-0.62,0.99
21,1.64,20,30,0.498,-4.79,-102.09,88.03,63.42,-0.55,0.92
22,1.67,21,29,0.670,-4.12,-101.91,87.53,63.2,-0.65,0.91
23,1.71,22,28,0.357,-4.19,-101.55,87.46,62.89,-0.62,0.86
24,1.74,23,27,0.505,-4.35,-102.05,87.06,62.93,-0.62,0.99
25,1.77,24,26,0.555,-4.3,-102.61,87.14,62.65,-0.62,0.87
26,1.81,25,25,1.598,-4.25,-101.81,88.31,64.25,-0.64,0.77
27,1.84,26,24,0.210,-4.28,-101.92,88.1,64.41,-0.64,0.78
28,1.87,27,23,0.504,-4.18,-101.94,87.6,64.52,-0.61,0.81
29,1.91,28,22,0.771,-4.16,-101.98,86.82,64.63,-0.67,0.76
30,1.94,29,21,0.537,-4.27,-102.48,87.36,64.79,-0.68,0.69
31,1.98,30,20,0.974,-4.32,-101.81,86.39,64.91,-0.63,0.62
32,2.01,31,19,0.208,-4.35,-102.01,86.18,65.06,-0.72,0.68
33,2.04,32,18,0.218,-4.13,-102.15,86.24,65.2,-0.65,0.65
34,2.08,33,17,0.484,-4.23,-101.66,85.82,65.26,-0.74,0.61
35,2.11,34,16,0.312,-4.07,-101.85,85.5,65.39,-0.68,0.56
36,2.14,35,15,0.447,-4.08,-101.93,85.06,65.44,-0.64,0.56
37,2.18,36,14,0.412,-4.11,-101.51,85.19,65.46,-0.66,0.56
38,2.21,37,13,0.209,-4.01,-101.5,84.98,65.58,-0.71,0.61
39,2.24,38,12,0.232,-4.06,-101.46,84.75,65.75,-0.7,0.6
40,2.28,39,11,0.269,-3.82,-101.49,84.48,65.87,-0.65,0.46
41,2.31,40,10,0.295,-4.07,-101.45,84.38,66.16,-0.7,0.53
42,2.34,41,9,0.530,-3.99,-100.92,84.26,66.3,-0.69,0.53
43,2.38,42,8,0.475,-3.87,-101.16,83.8,66.77,-0.69,0.6
44,2.41,43,7,0.129,-3.94,-101.29,83.7,66.79,-0.68,0.55
45,2.44,44,6,0.918,-3.89,-101.3,82.78,67.16,-0.71,0.54
46,2.48,45,5,0.466,-4.07,-101.25,82.32,67.43,-0.7,0.63
47,2.51,46,4,0.587,-4.15,-100.93,81.73,67.83,-0.73,0.67
48,2.54,47,3,0.260,-3.89,-100.82,81.69,68.01,-0.71,0.71
49,2.58,48,2,0.751,-3.97,-101.15,80.94,68.37,-0.76,0.61
50,2.61,49,1,0.496,-4.08,-100.69,80.45,68.72,-0.7,0.58
51,2.68,50,24,4.416,-4.59,-101.48,81.62,64.31,-0.54,0.57
52,2.71,51,23,0.391,-4.54,-101.09,81.43,64.65,-0.36,0.63
53,2.74,52,22,0.479,-4.26,-101.13,81.05,65.13,-0.49,0.69
54,2.78,53,21,0.207,-4.05,-101.25,81.02,65.19,-0.4,0.72
55,2.81,54,20,0.837,-3.7,-100.5,80.19,65.17,-0.36,0.61
56,2.85,55,19,0.794,-3.78,-99.7,80.77,65.04,-0.58,0.56
57,2.88,56,18,0.426,-3.52,-99.85,80.34,64.97,-0.4,0.72
58,2.91,57,17,1.389,-3.38,-98.47,79.77,64.71,-0.58,0.64
59,2.95,58,16,0.933,-3.33,-97.53,79.5,64.63,-0.45,0.67
60,2.98,59,15,1.431,-3.02,-96.4,78.06,64.56,-0.64,0.71
61,3.01,60,14,0.953,-3.36,-95.45,78.26,64.56,-0.64,0.46
62,3.05,61,13,1.344,-3.34,-94.1,77.6,64.21,-0.63,0.62
63,3.08,62,12,1.251,-2.87,-92.85,76.77,64.06,-0.68,0.72
64,3.11,63,11,2.155,-2.79,-90.7,74.88,64.28,-0.88,0.57
65,3.15,64,10,2.441,-3.31,-88.26,73.1,64.05,-1.07,0.77
66,3.18,65,9,2.266,-3.13,-85.99,71.89,64.01,-1.28,0.57
67,3.21,66,8,3.274,-3.71,-82.72,70.33,63.91,-1.44,0.66
68,3.25,67,7,3.105,-3.57,-79.61,68.8,63.69,-1.78,0.63
69,3.28,68,6,3.077,-3.15,-76.54,66.95,63.48,-1.99,0.67
70,3.31,69,5,2.994,-3.42,-73.54,64.76,63.12,-2.31,0.62
71,3.35,70,4,2.672,-3.41,-70.87,62.96,63.0,-2.59,0.55
72,3.38,71,3,2.375,-3.62,-68.5,62.93,62.99,-2.77,0.64
73,3.41,72,2,2.280,-3.78,-66.22,61.31,62.81,-2.96,0.55
74,3.45,73,1,2.123,-3.65,-64.56,59.19,62.86,-3.05,0.63
75,3.61,74,25,8.633,-5.6,-55.93,50.96,66.21,-2.32,0.46
76,3.65,75,24,1.359,-5.53,-54.8,49.6,66.66,-2.41,0.76
77,3.68,76,23,1.424,-5.52,-53.38,48.9,66.92,-2.65,1.46
78,3.71,77,22,1.664,-5.88,-51.71,48.14,67.23,-2.64,3.01
79,3.75,78,21,1.870,-5.83,-50.72,47.03,67.31,-2.58,4.88
80,3.78,79,20,1.997,-5.75,-49.28,46.45,67.43,-2.52,6.88
81,3.82,80,19,1.673,-5.95,-48.87,46.11,67.5,-2.49,8.55
82,3.85,81,18,1.566,-5.95,-48.15,45.56,67.65,-2.67,10.12
83,3.88,82,17,1.322,-6.14,-47.0,45.12,67.58,-2.53,11.44
84,3.92,83,16,1.500,-6.08,-46.08,44.68,67.68,-2.59,12.94
85,3.95,84,15,1.497,-5.96,-45.22,44.25,67.78,-2.57,14.44
86,3.98,85,14,1.740,-6.21,-44.33,43.85,67.96,-2.55,16.18
87,4.02,86,13,1.684,-6.07,-43.67,43.61,68.15,-2.53,17.86
88,4.05,87,12,1.789,-6.19,-42.86,43.89,68.34,-2.55,19.65
89,4.08,88,11,1.673,-6.3,-41.58,42.85,68.88,-2.48,21.32
90,4.12,89,10,1.580,-6.18,-41.36,42.8,69.01,-2.51,22.9
91,4.15,90,9,1.354,-6.08,-40.21,42.13,69.23,-2.51,24.26
92,4.18,91,8,1.328,-6.21,-39.38,41.41,69.71,-2.43,25.59
93,4.22,92,7,1.016,-6.06,-38.81,42.01,69.9,-2.42,26.6
