action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.04,0,50,,-4.81,-102.16,87.67,76.92,-1.09,0.95
2,1.07,1,49,0.723,-5.13,-102.01,88.4,76.94,-1.01,0.92
3,1.10,2,48,0.282,-5.21,-101.87,88.11,77.12,-1.0,1.0
4,1.14,3,47,0.656,-5.53,-102.53,87.59,77.11,-0.99,0.98
5,1.17,4,46,0.664,-5.3,-102.12,88.26,77.01,-1.04,0.99
6,1.20,5,45,0.242,-5.54,-101.93,88.31,76.9,-1.05,0.97
7,1.24,6,44,0.308,-5.41,-102.03,88.62,77.04,-0.96,1.08
8,1.27,7,43,0.663,-5.84,-101.77,87.96,77.13,-1.0,1.02
9,1.30,8,42,0.208,-5.68,-101.98,87.98,77.01,-0.99,1.04
10,1.34,9,41,0.577,-5.77,-102.35,88.55,77.16,-1.03,0.96
11,1.37,10,40,0.256,-5.99,-102.09,88.49,77.27,-1.07,0.99
12,1.41,11,39,0.651,-6.29,-101.82,87.84,77.1,-1.05,1.1
13,1.44,12,38,0.471,-6.1,-102.01,88.31,77.03,-1.02,1.0
14,1.47,13,37,0.220,-6.31,-101.79,88.48,77.19,-1.08,1.07
15,1.51,14,36,0.253,-6.33,-101.92,88.22,77.18,-1.05,0.99
16,1.54,15,35,0.429,-6.38,-101.6,88.65,77.12,-1.03,1.02
17,1.57,16,34,0.378,-6.43,-101.3,88.28,77.27,-1.05,1.0
18,1.61,17,33,0.209,-6.64,-101.32,88.26,77.34,-0.99,0.88
19,1.64,18,32,0.723,-6.77,-102.04,88.53,77.35,-1.08,0.96
20,1.67,19,31,0.786,-6.75,-102.13,87.75,77.47,-0.99,0.96
21,1.71,20,30,1.047,-6.54,-101.33,88.79,77.67,-1.05,1.07
22,1.74,21,29,0.798,-6.86,-102.13,88.34,77.79,-1.09,1.08
23,1.77,22,28,0.472,-6.68,-102.05,87.87,77.65,-1.09,1.05
24,1.81,23,27,0.228,-6.58,-101.82,87.95,77.58,-1.08,1.09
25,1.84,24,26,0.310,-6.5,-102.07,88.26,77.68,-1.06,1.1
26,1.87,25,25,0.538,-6.39,-101.53,88.0,77.77,-1.08,1.08
27,1.91,26,24,0.475,-6.63,-102.01,88.28,77.77,-1.12,1.06
28,1.94,27,23,0.374,-6.26,-102.1,88.38,77.6,-1.11,1.07
29,1.97,28,22,0.532,-6.61,-102.04,87.85,77.77,-1.08,0.99
30,2.01,29,21,0.192,-6.76,-102.23,87.86,77.71,-1.0,1.04
31,2.04,30,20,0.585,-6.4,-101.83,88.45,77.53,-1.13,1.24
32,2.07,31,22,2.229,-8.63,-101.71,87.61,77.37,-1.17,0.94
33,2.11,32,21,0.378,-8.57,-101.35,87.99,77.3,-1.11,0.91
34,2.14,33,20,0.311,-8.66,-101.51,87.67,77.35,-1.09,1.01
35,2.17,34,19,0.600,-8.56,-102.11,88.25,77.24,-1.15,1.03
36,2.21,35,18,0.526,-8.72,-101.59,87.83,77.37,-1.14,0.9
37,2.24,36,17,0.263,-8.75,-101.6,88.1,77.4,-1.19,1.01
38,2.27,37,16,0.372,-8.68,-101.23,88.19,77.37,-1.13,1.05
39,2.31,38,15,0.389,-8.76,-101.62,87.96,77.36,-1.22,1.04
40,2.34,39,14,0.751,-8.78,-100.87,88.05,77.2,-1.2,1.02
41,2.37,40,13,0.361,-8.75,-101.23,88.19,77.19,-1.18,0.96
42,2.41,41,12,0.278,-8.74,-101.5,87.91,77.37,-1.22,1.03
43,2.44,42,11,0.759,-8.74,-100.74,88.04,77.34,-1.14,0.93
44,2.48,43,10,1.046,-8.93,-101.79,88.15,77.34,-1.18,1.02
45,2.51,44,9,0.298,-8.88,-101.49,88.31,77.16,-1.2,1.0
46,2.54,45,8,0.221,-8.95,-101.54,88.09,77.17,-1.19,0.92
47,2.58,46,7,0.225,-8.87,-101.49,87.87,77.15,-1.19,0.89
48,2.61,47,6,0.336,-8.98,-101.71,88.2,77.11,-1.16,0.92
49,2.64,48,5,0.521,-8.94,-101.52,87.68,77.32,-1.15,0.94
50,2.68,49,4,0.489,-9.08,-101.68,88.17,77.21,-1.24,0.95
51,2.71,50,3,1.432,-10.51,-101.71,87.69,77.03,-1.23,0.85
52,2.74,51,2,0.345,-10.61,-101.61,88.04,77.08,-1.34,0.95
53,2.78,52,1,0.184,-10.77,-101.43,87.92,77.22,-1.29,0.98
54,3.01,53,27,4.054,-6.72,-102.08,89.14,76.8,-1.3,0.8
55,3.04,54,26,0.600,-6.59,-101.84,88.54,76.9,-1.31,0.79
56,3.08,55,25,0.705,-6.4,-101.52,89.24,76.83,-1.37,0.85
57,3.11,56,24,0.676,-6.3,-102.19,88.59,76.78,-1.36,0.8
58,3.14,57,23,0.327,-6.51,-102.1,88.92,77.08,-1.42,0.83
59,3.18,58,22,0.716,-6.69,-102.81,88.3,76.97,-1.32,0.82
60,3.21,59,21,0.381,-6.31,-102.6,88.28,77.19,-1.33,0.86
61,3.24,60,20,0.363,-6.57,-102.24,88.39,76.89,-1.33,0.86
62,3.28,61,19,0.536,-6.43,-101.7,88.76,77.02,-1.32,1.01
63,3.31,62,18,0.672,-6.78,-102.38,88.64,77.08,-1.32,1.03
64,3.34,63,17,0.892,-6.52,-102.39,87.75,76.86,-1.37,0.83
65,3.38,64,16,1.081,-6.8,-102.04,88.83,77.33,-1.38,0.84
66,3.41,65,15,0.356,-6.71,-101.69,88.83,76.98,-1.34,0.93
67,3.45,66,14,1.017,-6.64,-102.71,87.83,76.99,-1.26,0.92
