action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.94,0,50,,-3.69,-101.0,88.36,76.01,-0.98,0.91
2,0.97,1,49,0.168,-3.66,-101.08,88.19,76.17,-1.04,0.95
3,1.00,2,48,1.110,-3.64,-100.57,87.08,76.24,-1.05,0.82
4,1.04,3,47,0.136,-3.67,-100.56,87.2,76.31,-1.09,0.96
5,1.07,4,46,0.275,-3.72,-100.35,87.48,76.27,-1.07,0.76
6,1.10,5,45,0.537,-3.8,-100.89,87.57,76.42,-0.97,0.78
7,1.14,6,44,0.359,-4.05,-101.25,87.69,76.22,-0.9,0.76
8,1.17,7,43,0.416,-3.95,-101.11,88.11,76.24,-0.91,0.77
9,1.20,8,42,1.115,-4.13,-100.4,86.99,76.49,-0.97,0.94
10,1.24,9,41,0.938,-4.29,-101.34,87.42,76.16,-0.92,0.82
11,1.27,10,40,0.514,-4.8,-101.2,87.16,76.44,-0.95,0.66
12,1.30,11,39,0.293,-5.1,-101.2,87.44,76.38,-0.96,0.85
13,1.34,12,38,0.597,-5.66,-101.0,86.85,76.14,-0.96,0.88
14,1.37,13,37,0.818,-6.48,-101.19,87.17,76.35,-0.92,0.79
15,1.40,14,36,0.930,-7.41,-101.44,86.5,76.55,-0.96,0.88
16,1.44,15,35,1.068,-8.48,-101.83,86.54,76.32,-0.88,0.65
17,1.47,16,34,0.906,-9.39,-101.64,86.51,76.62,-0.87,0.82
18,1.50,17,33,0.986,-10.37,-101.81,86.89,76.42,-1.0,0.72
19,1.54,18,32,1.090,-11.46,-101.35,86.89,76.47,-0.82,0.78
20,1.57,19,31,1.192,-12.65,-101.98,86.73,76.35,-0.96,0.83
21,1.61,20,30,1.062,-13.72,-101.54,86.9,76.4,-0.95,0.83
22,1.64,21,29,1.284,-15.0,-101.52,86.45,76.17,-0.97,0.85
23,1.67,22,28,1.054,-15.53,-102.57,86.55,76.37,-1.01,0.86
24,1.71,23,27,0.712,-16.24,-102.05,86.34,76.27,-1.0,0.71
25,1.74,24,26,0.614,-16.85,-101.7,86.5,76.37,-1.0,0.75
26,1.77,25,25,0.517,-17.37,-102.14,86.35,76.45,-1.0,0.76
27,1.81,26,24,0.645,-18.02,-102.45,86.54,76.42,-1.06,0.88
28,1.84,27,23,0.779,-18.79,-102.64,86.21,76.18,-1.04,0.85
29,1.87,28,22,0.877,-19.67,-102.51,86.57,76.38,-1.04,0.86
30,1.91,29,21,0.625,-19.92,-101.88,86.48,76.05,-1.13,0.99
31,1.94,30,20,0.491,-20.23,-101.39,86.16,76.31,-1.05,0.82
32,1.97,31,19,0.960,-20.57,-102.35,86.68,75.99,-1.08,0.96
33,2.01,32,21,1.425,-19.26,-100.93,85.89,75.99,-1.05,0.69
34,2.04,33,20,0.548,-19.64,-100.7,85.34,75.98,-1.03,0.76
35,2.07,34,19,0.603,-19.93,-101.3,85.13,75.92,-1.03,0.7
36,2.11,35,18,0.599,-20.51,-101.75,85.73,75.92,-1.01,0.85
37,2.14,36,17,0.433,-20.56,-101.31,85.32,75.92,-1.06,0.71
38,2.17,37,16,0.405,-20.97,-101.2,85.35,75.78,-1.13,0.81
39,2.21,38,15,0.293,-20.89,-101.49,85.45,75.75,-1.11,0.71
40,2.24,39,14,0.505,-21.1,-100.98,85.23,75.73,-1.16,0.69
41,2.27,40,13,0.187,-21.27,-101.11,85.04,75.67,-1.11,0.75
42,2.31,41,12,0.137,-21.39,-101.01,84.9,75.72,-1.1,0.69
43,2.34,42,11,0.102,-21.41,-101.1,84.93,75.63,-1.2,0.71
44,2.37,43,10,0.396,-21.32,-101.5,84.94,75.51,-1.15,0.67
45,2.41,44,9,0.575,-21.12,-100.92,84.42,75.44,-1.2,0.62
46,2.44,45,8,0.248,-21.15,-100.91,84.18,75.19,-1.21,0.59
47,2.47,46,7,0.397,-21.14,-101.14,84.58,75.03,-1.28,0.71
48,2.51,47,6,0.483,-21.07,-101.32,84.1,74.94,-1.27,0.66
49,2.54,48,5,0.368,-21.0,-100.95,84.2,74.7,-1.47,0.61
50,2.57,49,4,0.531,-21.12,-101.49,84.23,74.63,-1.44,0.69
51,2.61,50,3,1.246,-20.0,-100.54,82.98,74.73,-1.59,0.63
52,2.64,51,2,0.529,-19.92,-100.32,82.45,74.73,-1.67,0.69
53,2.68,52,1,0.733,-20.28,-101.06,82.96,74.64,-1.86,0.45
54,2.84,53,28,4.982,-25.26,-100.63,84.13,72.21,-1.57,0.91
55,2.88,54,27,2.132,-25.58,-102.76,84.32,72.22,-1.68,0.91
56,2.91,55,26,1.578,-25.6,-101.18,84.41,71.89,-1.62,0.94
57,2.94,56,25,0.150,-25.75,-101.28,84.52,72.02,-1.62,0.88
58,2.98,57,24,0.462,-25.95,-100.82,84.38,71.88,-1.6,0.9
59,3.01,58,23,0.451,-25.84,-101.27,84.19,71.85,-1.61,0.86
60,3.04,59,22,0.318,-25.52,-101.17,84.02,71.54,-1.59,0.76
61,3.08,60,21,0.277,-25.8,-101.1,83.94,71.44,-1.68,0.89
62,3.11,61,20,0.452,-25.87,-101.16,83.68,70.98,-1.62,0.9
63,3.14,62,19,0.649,-25.98,-101.43,84.33,70.77,-1.74,0.98
64,3.18,63,18,0.890,-26.05,-101.25,83.44,70.68,-1.65,0.85
65,3.21,64,17,0.362,-26.14,-100.89,83.47,70.67,-1.8,1.03
66,3.24,65,16,0.450,-26.23,-101.34,83.26,70.3,-1.68,1.02
67,3.28,66,15,0.422,-26.19,-100.92,83.33,70.16,-1.64,0.76
68,3.31,67,14,0.518,-26.44,-100.94,83.85,70.08,-1.64,0.77
69,3.34,68,13,1.014,-26.59,-100.83,82.83,69.87,-1.71,0.82
70,3.38,69,12,0.951,-26.49,-101.03,83.79,69.63,-1.68,0.88
71,3.41,70,11,0.740,-26.68,-101.03,83.04,69.43,-1.81,0.87
72,3.44,71,10,0.401,-26.77,-101.43,83.34,69.47,-1.62,0.91
73,3.48,72,9,0.579,-26.73,-100.85,83.35,69.29,-1.83,0.89
74,3.51,73,8,0.839,-26.3,-101.69,83.24,68.9,-1.84,0.76
75,3.54,74,7,0.679,-26.17,-101.18,82.56,68.83,-1.84,0.71
76,3.58,75,6,0.415,-26.09,-101.47,82.98,68.66,-1.69,0.92
77,3.61,76,5,0.509,-26.18,-101.25,82.47,68.56,-1.72,0.72
78,3.64,77,4,0.395,-26.11,-100.86,82.69,68.67,-1.76,0.71
79,3.68,78,3,0.502,-25.92,-100.35,82.46,68.55,-1.83,0.66
80,3.71,79,23,4.091,-23.81,-100.1,78.37,68.47,-2.17,0.94
81,3.74,80,22,0.836,-24.0,-99.27,77.54,68.36,-2.11,0.92
82,3.78,81,21,1.644,-23.28,-99.51,75.9,68.45,-2.3,0.99
83,3.81,82,20,0.955,-23.45,-99.56,74.94,68.45,-2.3,0.83
84,3.85,83,19,0.604,-23.38,-98.96,74.89,68.41,-2.49,0.92
85,3.88,84,18,1.117,-23.33,-97.84,75.07,68.61,-2.38,0.83
86,3.91,85,17,0.985,-23.26,-97.83,74.08,68.64,-2.5,0.96
87,3.95,86,16,0.179,-23.25,-98.01,73.94,68.72,-2.46,0.87
88,3.98,87,15,0.379,-22.87,-98.19,73.8,68.76,-2.74,0.86
89,4.01,88,14,0.676,-22.71,-97.52,73.18,68.82,-2.87,0.86
90,4.05,89,13,1.187,-22.85,-96.33,72.11,68.98,-2.97,0.87
91,4.08,90,12,2.101,-22.29,-94.23,71.35,68.65,-3.39,0.89
92,4.11,91,11,1.725,-22.25,-92.5,70.2,68.64,-3.59,0.89
93,4.15,92,10,2.422,-21.74,-90.08,68.68,68.25,-3.77,0.85
94,4.18,93,9,2.181,-21.87,-87.9,67.53,68.08,-4.13,0.77
95,4.21,94,8,2.456,-21.75,-85.44,66.64,67.89,-4.23,0.87
96,4.25,95,7,1.469,-21.47,-83.98,65.64,67.42,-4.4,0.91
97,4.28,96,6,1.007,-21.52,-82.97,65.06,66.98,-4.36,0.86
98,4.31,97,5,0.992,-21.45,-81.98,64.15,66.81,-4.27,0.88
99,4.35,98,4,0.998,-21.42,-80.98,63.5,66.63,-4.17,0.93
100,4.38,99,3,0.282,-21.14,-80.79,63.34,66.61,-4.33,0.89
101,4.41,100,2,1.739,-20.84,-79.05,62.67,66.2,-4.16,0.93
102,4.45,101,1,1.515,-20.8,-77.54,61.76,65.97,-4.14,0.95
103,4.65,102,26,21.911,-27.93,-99.45,77.77,67.67,-1.76,0.78
104,4.68,103,25,0.514,-28.29,-99.44,77.25,67.69,-1.81,0.77
105,4.71,104,24,0.208,-28.25,-99.65,77.29,67.83,-1.93,0.62
106,4.75,105,23,0.209,-28.19,-99.7,77.11,67.65,-2.1,0.83
107,4.78,106,22,0.168,-28.06,-99.86,77.26,67.52,-2.14,0.86
108,4.81,107,21,0.966,-28.0,-98.9,77.21,67.69,-2.16,0.79
109,4.85,108,20,0.956,-28.39,-99.85,76.64,67.66,-2.47,0.84
110,4.88,109,19,0.415,-28.15,-99.44,76.55,67.8,-2.69,0.6
111,4.92,110,18,0.574,-27.77,-99.81,75.97,67.59,-2.74,0.72
112,4.95,111,17,1.503,-27.67,-98.31,76.23,67.74,-2.94,0.82
113,4.98,112,16,0.631,-27.55,-98.55,75.6,67.78,-2.86,0.51
114,5.02,113,15,0.328,-27.37,-98.58,75.93,67.9,-2.97,0.54
115,5.05,114,14,0.326,-27.21,-98.69,75.93,68.23,-2.97,0.66
116,5.08,115,13,1.069,-26.87,-97.62,76.09,68.31,-3.02,0.79
117,5.12,116,12,0.630,-26.49,-97.8,75.46,68.05,-2.9,0.48
118,5.15,117,11,0.531,-25.97,-97.98,75.51,68.58,-2.88,0.6
119,5.18,118,10,0.835,-25.71,-97.93,74.68,68.69,-2.74,0.53
120,5.22,119,9,0.609,-25.43,-97.84,75.29,68.84,-2.79,0.46
121,5.25,120,8,0.886,-25.05,-97.98,74.4,69.17,-2.86,0.55
122,5.28,121,7,0.377,-24.77,-98.01,74.02,69.41,-2.98,0.59
123,5.32,122,6,0.364,-24.57,-97.97,73.9,69.78,-3.0,0.57
124,5.35,123,5,0.561,-24.0,-97.77,73.52,70.23,-3.1,0.72
125,5.38,124,4,0.735,-23.27,-97.9,73.03,70.34,-3.1,0.6
126,5.42,125,3,0.943,-22.67,-96.96,73.35,70.71,-3.09,0.64
127,5.45,126,2,0.973,-21.7,-97.49,73.01,70.93,-3.02,0.56
128,5.48,127,1,1.132,-20.56,-96.85,72.64,70.89,-2.99,0.45
129,5.58,128,23,14.280,-17.78,-82.57,65.53,73.03,-4.97,0.59
130,5.62,129,22,1.404,-17.93,-81.17,64.75,73.54,-5.07,0.33
131,5.65,130,21,0.699,-18.1,-80.47,64.1,73.65,-4.89,0.26
132,5.68,131,20,0.845,-18.14,-79.63,63.63,74.02,-5.0,0.15
133,5.72,132,19,1.767,-17.85,-77.86,63.44,73.82,-4.95,0.19
134,5.75,133,18,0.982,-17.76,-76.96,62.45,73.92,-5.03,0.27
135,5.78,134,17,1.490,-17.54,-75.47,61.95,73.53,-5.08,0.61
