action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.84,0,50,,-4.21,-101.18,87.84,76.16,-0.5,1.05
2,0.87,1,49,0.221,-4.36,-101.04,87.72,76.38,-0.49,1.03
3,0.90,2,48,0.287,-4.53,-100.86,88.0,76.37,-0.49,0.98
4,0.94,3,47,0.231,-4.49,-100.96,87.77,76.33,-0.45,1.02
5,0.97,4,46,0.435,-4.66,-101.39,87.97,76.34,-0.45,1.03
6,1.00,5,45,0.129,-4.53,-101.36,87.94,76.23,-0.5,0.93
7,1.04,6,44,0.284,-4.66,-101.08,88.02,76.44,-0.49,0.89
8,1.07,7,43,0.404,-4.63,-101.43,88.43,76.34,-0.45,1.0
9,1.10,8,42,0.526,-4.71,-101.24,87.9,76.33,-0.42,1.02
10,1.14,9,41,1.124,-4.78,-101.79,89.02,76.29,-0.46,0.93
11,1.17,10,40,1.211,-5.01,-101.33,87.81,76.24,-0.45,0.93
12,1.20,11,39,0.265,-5.28,-101.42,87.86,76.39,-0.44,0.96
13,1.24,12,38,0.356,-5.62,-101.48,88.22,76.46,-0.45,1.01
14,1.27,13,37,0.428,-5.89,-101.52,87.79,76.41,-0.43,0.99
15,1.30,14,36,0.562,-6.45,-101.33,87.71,76.4,-0.48,0.93
16,1.34,15,35,0.439,-6.89,-101.25,87.82,76.5,-0.43,0.91
17,1.37,16,34,0.497,-7.38,-101.18,87.59,76.54,-0.48,0.96
18,1.40,17,33,0.555,-7.88,-101.74,88.04,76.66,-0.47,0.91
19,1.44,18,32,0.686,-8.56,-101.23,87.71,76.6,-0.49,0.95
20,1.47,19,31,0.604,-9.17,-101.74,88.17,76.66,-0.43,0.97
21,1.50,20,30,0.814,-9.98,-101.34,87.77,76.79,-0.47,0.92
22,1.54,21,29,0.502,-10.48,-101.38,87.83,76.55,-0.43,0.98
23,1.57,22,28,0.541,-11.03,-101.64,87.81,76.7,-0.4,1.0
24,1.61,23,27,0.840,-11.87,-101.58,87.75,76.63,-0.43,0.9
25,1.64,24,26,0.743,-12.61,-101.64,87.79,76.77,-0.43,0.92
26,1.67,25,25,0.761,-13.37,-101.51,87.64,76.67,-0.4,0.81
