action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.77,0,50,,-5.45,-99.78,88.25,75.11,-0.04,1.31
2,1.81,1,49,0.843,-6.29,-100.25,87.9,75.25,-0.14,1.49
3,1.84,2,48,1.138,-7.43,-100.33,88.26,75.33,-0.05,1.4
4,1.87,3,47,0.603,-8.03,-100.3,87.98,75.45,-0.01,1.42
5,1.91,4,46,1.228,-9.26,-100.66,88.24,75.55,-0.11,1.4
6,1.94,5,45,1.328,-10.59,-101.53,87.88,75.69,-0.05,1.33
7,1.97,6,44,1.129,-11.72,-101.04,87.65,75.57,-0.17,1.61
8,2.01,7,43,1.457,-13.17,-101.29,87.53,75.8,-0.07,1.26
9,2.04,8,42,1.046,-14.22,-101.65,87.48,75.66,-0.2,1.26
10,2.07,9,41,1.035,-15.25,-101.22,87.01,75.8,-0.11,1.23
11,2.11,10,40,1.112,-16.37,-101.97,86.87,75.47,-0.16,1.36
12,2.14,11,39,0.893,-17.26,-102.07,87.2,75.59,-0.08,1.17
13,2.17,12,38,1.210,-18.47,-101.88,86.63,75.62,-0.18,1.12
14,2.21,13,37,0.622,-19.09,-101.76,86.47,75.69,-0.07,1.22
15,2.24,14,36,1.416,-20.51,-101.77,86.54,75.66,-0.14,1.13
16,2.27,15,35,0.610,-21.12,-102.19,86.55,75.71,-0.15,1.05
17,2.31,16,34,0.918,-22.03,-101.93,87.03,75.76,-0.16,1.24
18,2.34,17,33,0.966,-23.0,-102.27,86.47,75.59,-0.13,1.06
19,2.37,18,32,0.697,-23.7,-102.45,86.29,75.77,-0.21,1.08
20,2.41,19,31,0.691,-24.39,-102.43,86.42,75.59,-0.2,1.22
21,2.44,20,30,0.855,-25.24,-102.22,86.16,75.42,-0.28,1.06
22,2.47,21,29,1.149,-25.73,-103.37,87.2,75.5,-0.21,0.97
23,2.51,22,28,1.248,-26.02,-102.12,87.14,75.4,-0.18,1.04
24,2.54,23,27,0.635,-26.6,-102.76,87.05,75.55,-0.34,1.0
25,2.57,24,26,0.160,-26.74,-102.8,86.88,75.65,-0.26,1.01
26,2.61,25,25,0.525,-27.26,-102.57,86.96,75.63,-0.37,1.04
27,2.64,26,24,0.688,-27.54,-101.89,87.23,75.45,-0.26,1.18
28,2.67,27,23,0.661,-27.87,-102.0,86.57,75.53,-0.25,1.08
29,2.71,28,22,0.798,-27.98,-101.67,87.37,75.62,-0.41,1.06
30,2.74,29,21,0.869,-28.19,-102.54,87.25,75.5,-0.23,1.05
31,2.78,30,23,1.005,-29.19,-101.73,86.79,75.77,-0.16,1.26
32,2.81,31,22,0.702,-29.47,-102.44,86.99,75.66,-0.13,1.22
33,2.84,32,21,0.723,-29.67,-101.71,86.82,75.75,-0.19,1.22
34,2.88,33,20,0.560,-30.0,-101.96,87.38,75.74,-0.14,1.18
35,2.91,34,19,0.391,-30.14,-102.0,86.99,75.75,-0.15,1.26
36,2.94,35,18,0.473,-30.62,-101.93,86.64,75.79,-0.19,1.17
37,2.98,36,17,0.360,-30.98,-102.06,86.89,75.53,-0.22,1.22
38,3.01,37,16,0.424,-31.4,-102.15,86.91,75.5,-0.15,1.18
39,3.04,38,15,0.297,-31.7,-102.22,86.91,75.48,-0.14,1.26
40,3.08,39,14,0.644,-32.34,-101.98,86.49,75.42,-0.23,1.16
41,3.11,40,13,0.546,-32.7,-102.53,86.57,75.34,-0.17,1.19
42,3.14,41,12,0.686,-33.38,-102.27,86.65,75.31,-0.25,1.12
43,3.18,42,11,0.626,-34.01,-102.52,86.62,75.3,-0.24,1.08
44,3.21,43,10,0.432,-34.43,-102.09,86.42,75.05,-0.25,1.14
45,3.24,44,9,0.469,-34.74,-102.56,86.62,75.07,-0.29,1.2
46,3.28,45,8,0.651,-35.39,-102.45,86.24,75.0,-0.3,1.1
47,3.31,46,7,0.348,-35.74,-102.17,86.15,74.79,-0.36,1.13
48,3.34,47,6,0.461,-36.2,-102.02,86.27,74.67,-0.32,1.05
49,3.38,48,5,0.567,-36.46,-102.25,86.84,74.58,-0.36,1.16
50,3.41,49,4,0.731,-36.82,-102.36,86.1,74.56,-0.5,1.01
51,3.44,50,3,0.892,-37.48,-101.68,87.0,74.63,-0.43,1.2
52,3.48,51,2,0.559,-37.75,-102.14,87.05,74.07,-0.6,1.01
53,3.51,52,1,0.652,-38.08,-101.49,86.91,74.18,-0.83,0.9
54,3.71,53,26,2.879,-40.02,-102.41,86.55,71.3,-0.32,1.25
55,3.74,54,25,0.383,-40.38,-102.13,86.17,71.31,-0.35,1.17
56,3.78,55,24,0.393,-40.77,-102.42,86.08,71.11,-0.43,1.01
57,3.81,56,23,0.277,-40.61,-102.15,85.96,71.2,-0.33,1.27
58,3.85,57,22,0.635,-41.05,-101.51,86.38,70.82,-0.53,1.11
59,3.88,58,21,0.836,-41.28,-102.35,85.7,70.86,-0.38,1.09
60,3.91,59,20,0.576,-41.78,-101.77,85.47,70.68,-0.61,1.14
61,3.95,60,19,0.346,-41.78,-101.87,85.81,70.68,-0.53,1.28
62,3.98,61,18,0.503,-41.64,-101.62,85.31,70.44,-0.62,1.27
63,4.01,62,17,0.457,-41.84,-102.07,85.68,69.98,-0.76,1.17
64,4.05,63,16,0.394,-41.68,-101.67,86.0,69.78,-0.84,1.23
65,4.08,64,15,0.457,-41.32,-101.27,85.85,69.32,-0.86,1.29
66,4.11,65,14,0.766,-41.18,-101.02,85.75,68.55,-0.85,1.23
67,4.15,66,13,0.843,-40.64,-101.86,86.49,68.03,-1.05,1.28
68,4.18,67,12,0.925,-40.8,-100.94,86.1,67.34,-1.04,1.37
69,4.21,68,11,0.578,-40.49,-101.15,85.52,66.83,-1.03,1.22
70,4.25,69,10,0.740,-40.24,-101.06,86.26,66.09,-1.16,1.36
71,4.28,70,9,0.991,-39.92,-100.98,85.27,65.48,-1.37,1.31
72,4.31,71,8,0.606,-39.43,-101.33,85.88,65.12,-1.51,1.26
73,4.35,72,7,0.999,-38.43,-100.47,85.81,64.22,-1.38,1.19
74,4.38,73,6,0.780,-38.02,-101.25,86.43,64.08,-1.69,1.19
75,4.41,74,5,1.360,-37.6,-100.67,85.07,63.33,-1.79,1.32
76,4.45,75,4,0.945,-36.65,-99.85,85.13,62.81,-2.05,1.37
77,4.48,76,3,0.658,-36.01,-99.32,84.92,62.15,-2.28,1.17
78,4.51,77,25,6.907,-42.92,-100.69,86.38,60.56,-1.33,1.36
79,4.55,78,24,0.594,-43.05,-100.91,86.92,59.96,-1.28,1.46
80,4.58,79,23,3.553,-46.6,-101.36,87.2,59.32,-0.67,1.44
81,4.61,80,22,0.675,-46.31,-101.46,87.87,58.9,-0.59,1.49
82,4.65,81,21,0.559,-46.26,-100.9,88.12,58.51,-0.66,1.6
83,4.68,82,20,0.714,-46.41,-101.62,87.61,58.34,-0.64,1.46
84,4.71,83,19,0.299,-46.17,-101.34,87.91,58.04,-0.83,1.43
85,4.75,84,18,0.553,-46.23,-100.78,87.87,58.02,-0.86,1.59
86,4.78,85,17,0.729,-46.14,-101.51,87.79,57.39,-1.04,1.46
87,4.81,86,16,0.937,-46.07,-100.58,87.71,57.44,-1.23,1.65
88,4.85,87,15,0.852,-46.06,-101.43,87.94,57.24,-1.57,1.33
89,4.88,88,14,0.677,-45.87,-101.21,87.26,56.88,-1.96,1.3
90,4.92,89,13,0.452,-45.8,-100.94,87.3,56.79,-2.41,1.37
91,4.95,90,12,0.480,-45.8,-101.35,86.82,56.45,-2.73,1.5
92,4.98,91,11,0.304,-45.69,-101.61,87.13,56.54,-2.97,1.36
93,5.02,92,10,0.577,-45.88,-101.04,87.43,56.35,-3.13,1.37
94,5.05,93,9,0.816,-45.57,-101.33,86.62,56.29,-3.25,1.29
95,5.08,94,8,0.513,-46.08,-101.66,86.84,55.98,-3.31,1.36
96,5.12,95,7,0.751,-45.47,-101.63,86.09,56.32,-3.43,1.37
97,5.15,96,6,0.363,-45.55,-101.6,85.73,56.31,-3.55,1.5
98,5.18,97,5,0.443,-45.49,-101.28,85.89,56.76,-3.77,1.36
99,5.22,98,4,0.328,-45.19,-100.95,86.04,56.8,-3.9,1.47
100,5.25,99,3,1.254,-45.11,-100.93,84.79,56.9,-3.97,1.49
101,5.28,100,2,0.638,-44.99,-100.96,84.15,57.1,-4.16,1.64
102,5.32,101,1,0.287,-44.98,-100.69,83.86,57.09,-4.21,1.57
103,5.35,102,24,2.901,-45.03,-99.63,83.09,59.99,-2.0,1.18
104,5.38,103,23,0.521,-45.02,-99.11,82.81,60.03,-2.04,1.21
105,5.42,104,22,0.702,-45.28,-98.4,82.25,60.09,-2.1,1.13
106,5.45,105,21,1.179,-45.02,-97.22,81.37,59.85,-2.13,1.18
