action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.84,0,50,,-4.83,-101.81,88.31,72.33,-1.19,1.31
2,1.87,1,49,0.346,-4.76,-102.16,88.14,72.12,-0.99,1.06
3,1.91,2,48,0.306,-4.97,-101.91,88.08,71.81,-1.14,1.11
4,1.94,3,47,0.218,-5.0,-101.92,88.21,71.62,-0.92,0.92
5,1.97,4,46,0.762,-4.87,-102.03,87.44,71.38,-1.16,0.89
6,2.01,5,45,1.182,-4.75,-102.68,88.63,70.86,-1.11,1.22
7,2.04,6,44,0.806,-5.12,-101.87,88.53,70.82,-1.26,1.05
8,2.07,7,43,0.718,-4.68,-102.59,87.99,70.24,-1.19,1.13
9,2.11,8,42,0.563,-5.07,-102.78,88.56,69.84,-1.28,0.96
10,2.14,9,41,0.435,-5.43,-102.72,88.19,69.41,-1.24,1.09
11,2.17,10,40,0.226,-5.32,-102.84,88.06,69.18,-1.25,1.14
12,2.21,11,39,0.591,-5.02,-103.02,88.65,68.75,-1.25,1.03
13,2.24,12,38,0.792,-5.14,-103.42,89.17,67.95,-1.11,1.04
14,2.27,13,37,0.966,-5.16,-103.23,88.2,67.75,-1.21,1.18
15,2.31,14,36,0.471,-5.19,-103.0,87.83,67.27,-1.13,1.03
16,2.34,15,35,0.630,-4.92,-103.13,88.26,66.64,-1.12,1.26
17,2.38,16,34,0.467,-5.05,-102.8,88.54,66.18,-1.25,1.03
18,2.41,17,33,0.261,-5.08,-102.95,88.28,65.98,-1.23,0.92
19,2.44,18,32,0.429,-4.87,-102.77,88.67,65.55,-1.24,1.08
20,2.48,19,31,0.703,-4.74,-102.64,88.79,64.85,-1.14,0.96
21,2.51,20,30,0.550,-5.2,-102.71,89.34,64.33,-1.18,0.98
22,2.54,21,29,0.961,-5.09,-103.67,89.46,63.75,-1.19,1.12
23,2.58,22,28,0.905,-5.07,-102.77,88.62,63.74,-1.21,1.03
24,2.61,23,27,0.386,-5.06,-102.55,88.23,63.63,-1.2,1.22
25,2.64,24,26,0.792,-4.94,-103.34,88.19,63.71,-1.2,0.91
26,2.68,25,25,0.747,-5.33,-102.59,87.53,64.0,-1.25,0.94
27,2.71,26,24,0.657,-4.98,-103.25,87.21,64.02,-1.14,0.67
28,2.74,27,23,0.934,-4.98,-103.06,86.28,64.41,-1.18,0.92
29,2.78,28,25,2.148,-4.93,-102.71,84.13,64.9,-1.11,0.84
30,2.81,29,24,0.328,-4.92,-102.71,83.93,65.22,-1.14,0.86
31,2.84,30,23,0.793,-4.9,-102.85,83.14,65.27,-1.13,0.92
32,2.88,31,22,0.207,-4.92,-102.8,83.05,65.48,-1.13,0.93
33,2.91,32,21,0.205,-4.94,-102.59,83.07,65.56,-1.18,0.94
34,2.94,33,20,0.674,-4.89,-102.25,82.4,65.53,-1.17,0.8
35,2.98,34,19,0.304,-4.98,-102.55,82.39,65.65,-1.11,0.82
36,3.01,35,18,0.362,-4.92,-102.52,82.03,65.74,-1.21,0.79
37,3.04,36,17,0.592,-4.93,-102.49,81.44,65.83,-1.13,0.74
38,3.08,37,16,0.585,-4.9,-101.9,81.36,65.9,-1.08,0.79
39,3.11,38,15,0.759,-4.88,-101.83,80.6,65.99,-1.09,0.89
40,3.14,39,14,0.272,-4.88,-102.05,80.33,66.18,-1.11,0.81
41,3.18,40,13,0.559,-4.88,-101.49,79.86,66.49,-1.15,0.86
42,3.21,41,12,0.524,-4.85,-101.14,79.34,66.44,-1.1,0.77
43,3.25,42,11,0.444,-4.74,-101.58,79.42,66.7,-1.17,0.87
44,3.28,43,10,0.991,-4.76,-101.69,78.43,67.07,-1.06,0.74
45,3.31,44,9,0.725,-4.76,-101.07,77.71,67.24,-1.04,0.67
46,3.35,45,8,0.619,-4.91,-100.88,77.09,67.33,-1.09,0.76
47,3.38,46,7,0.706,-4.89,-100.18,76.99,67.49,-1.0,0.8
48,3.41,47,6,0.779,-4.84,-99.43,76.21,67.48,-0.99,0.75
49,3.45,48,5,1.572,-4.95,-97.86,75.42,67.21,-0.96,0.83
50,3.48,49,27,5.073,-4.68,-100.55,80.5,65.94,-1.5,0.77
51,3.51,50,26,0.975,-4.65,-99.57,79.59,66.11,-1.56,0.78
