action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.77,0,50,,-4.67,-102.04,88.67,74.26,0.08,0.74
2,1.81,1,49,0.294,-4.97,-101.83,88.54,74.12,0.04,0.81
3,1.84,2,48,0.449,-5.26,-101.64,88.09,73.99,0.07,0.84
4,1.87,3,47,0.653,-5.55,-102.3,88.12,73.86,0.01,0.8
5,1.91,4,46,0.408,-5.96,-102.15,88.47,73.88,0.03,0.87
6,1.94,5,45,0.546,-6.5,-101.96,87.96,73.7,0.07,0.79
7,1.97,6,44,0.468,-6.97,-102.22,88.08,73.7,0.04,0.78
8,2.01,7,43,0.217,-7.18,-102.0,88.16,73.83,0.1,0.89
9,2.04,8,42,0.365,-7.44,-101.83,87.8,73.87,0.09,0.84
10,2.07,9,41,0.375,-7.39,-102.21,87.81,73.71,0.13,0.84
11,2.11,10,40,0.212,-7.2,-102.17,87.6,73.58,0.08,0.84
12,2.14,11,39,0.609,-7.37,-101.56,87.76,73.56,0.17,0.71
13,2.17,12,38,0.156,-7.37,-101.64,87.92,73.62,0.16,0.73
14,2.21,13,37,0.619,-7.23,-102.04,87.3,73.7,0.16,0.94
15,2.24,14,36,0.486,-7.45,-101.75,87.78,73.53,0.15,0.86
16,2.27,15,35,0.351,-7.1,-101.56,87.73,73.36,0.13,0.8
17,2.31,16,34,0.503,-7.02,-102.06,87.87,73.31,0.12,0.8
18,2.34,17,33,0.387,-6.63,-102.06,87.84,72.96,0.08,0.86
19,2.37,18,32,0.443,-6.43,-101.61,87.81,72.84,0.09,0.81
20,2.41,19,31,0.468,-6.28,-101.57,87.92,72.37,0.06,0.97
21,2.44,20,30,0.323,-6.4,-101.9,88.21,72.18,-0.1,0.88
22,2.47,21,29,0.503,-6.13,-102.01,88.06,71.68,-0.02,0.97
23,2.51,22,28,0.350,-6.24,-101.66,88.06,71.39,-0.06,0.91
24,2.54,23,27,0.568,-6.13,-101.75,87.79,70.82,0.04,0.94
25,2.57,24,26,0.619,-6.06,-101.77,88.06,70.2,0.0,0.94
26,2.61,25,25,0.335,-6.17,-101.96,88.3,69.87,0.08,0.85
27,2.64,26,24,0.575,-5.97,-102.29,88.16,69.29,0.1,0.79
28,2.68,27,23,0.680,-6.09,-101.61,87.96,69.26,0.09,0.89
29,2.71,28,22,0.488,-5.74,-102.05,87.69,68.77,0.08,0.82
30,2.74,29,21,0.199,-5.68,-102.25,87.68,68.69,0.09,0.89
31,2.78,30,20,0.340,-5.37,-101.99,87.44,68.35,0.11,0.91
32,2.81,31,22,0.836,-5.33,-101.87,86.6,68.83,0.03,0.91
33,2.84,32,21,0.421,-5.14,-101.45,86.65,68.76,-0.04,1.02
34,2.88,33,20,0.326,-5.16,-101.49,86.33,68.91,0.06,0.97
35,2.91,34,19,0.261,-5.09,-101.72,86.07,68.83,0.07,0.91
36,2.94,35,18,0.254,-4.98,-101.46,85.99,68.94,0.04,0.89
37,2.98,36,17,0.687,-4.86,-101.28,85.3,68.98,0.06,0.89
38,3.01,37,16,0.357,-4.84,-101.64,85.48,69.05,0.04,0.92
39,3.04,38,15,0.462,-4.89,-101.18,85.1,69.17,0.04,0.9
40,3.08,39,14,0.351,-4.82,-101.53,85.35,69.28,0.05,0.91
41,3.11,40,13,0.731,-4.93,-101.38,84.62,69.35,0.04,0.84
42,3.14,41,12,0.610,-4.87,-100.77,84.45,69.39,0.04,0.89
43,3.18,42,11,0.556,-4.79,-100.75,83.89,69.49,0.06,0.85
44,3.21,43,10,0.328,-4.76,-100.85,83.56,69.71,-0.02,0.8
45,3.24,44,9,0.287,-4.71,-100.92,83.28,69.91,-0.04,0.91
46,3.28,45,8,0.628,-4.65,-100.29,82.93,70.19,-0.01,0.94
47,3.31,46,7,0.862,-4.46,-99.75,82.07,70.2,-0.1,0.96
48,3.34,47,6,0.662,-4.49,-99.37,81.41,70.56,-0.1,0.85
49,3.38,48,5,0.996,-4.4,-98.38,80.41,70.51,-0.15,0.91
50,3.41,49,4,1.166,-4.15,-97.26,79.24,70.5,-0.22,0.84
51,3.44,50,3,2.981,-4.05,-94.28,77.86,70.12,-0.42,0.85
52,3.48,51,2,2.208,-3.99,-92.08,76.07,69.94,-0.51,0.97
53,3.51,52,1,1.743,-3.82,-90.33,74.43,69.94,-0.6,1.05
54,3.75,53,27,12.013,-5.5,-102.34,83.23,69.08,-0.24,0.71
55,3.78,54,26,0.523,-5.71,-102.62,82.74,69.6,-0.27,0.71
56,3.81,55,25,0.594,-5.79,-102.44,82.14,70.12,-0.21,0.64
57,3.85,56,24,0.532,-5.89,-102.84,81.93,70.65,-0.1,0.79
58,3.88,57,23,0.828,-5.95,-102.94,81.1,71.28,-0.1,0.71
59,3.91,58,22,0.498,-5.91,-102.5,80.6,71.54,-0.1,0.8
60,3.95,59,21,0.331,-5.9,-102.56,80.31,71.88,-0.18,0.8
61,3.98,60,20,0.666,-5.91,-102.06,79.64,72.2,-0.24,0.7
62,4.01,61,19,0.352,-5.88,-101.71,79.58,72.15,-0.26,0.86
63,4.05,62,18,0.203,-5.67,-101.59,79.58,72.13,-0.3,0.81
64,4.08,63,17,0.774,-5.58,-100.82,78.86,71.77,-0.34,0.79
65,4.11,64,16,0.354,-5.44,-100.51,78.86,71.42,-0.37,0.81
66,4.15,65,15,1.610,-5.57,-98.9,77.28,70.97,-0.39,0.74
67,4.18,66,14,1.324,-5.63,-97.57,76.7,70.6,-0.43,0.78
68,4.21,67,13,1.689,-5.67,-95.89,75.38,70.11,-0.52,0.67
69,4.25,68,12,2.111,-5.56,-93.77,74.57,69.69,-0.49,0.6
70,4.28,69,11,1.577,-5.41,-92.2,73.23,69.24,-0.56,0.77
71,4.31,70,10,2.479,-5.19,-89.72,72.12,69.07,-0.68,0.81
72,4.35,71,9,2.390,-5.34,-87.33,70.38,68.81,-0.74,0.73
73,4.38,72,8,1.423,-5.47,-85.9,69.87,68.71,-0.78,0.85
74,4.41,73,7,1.858,-5.12,-84.05,68.57,68.75,-0.77,0.71
75,4.45,74,6,1.596,-5.09,-82.45,67.73,68.63,-0.97,0.84
76,4.48,75,5,1.571,-4.93,-80.88,66.28,68.64,-1.06,0.79
77,4.51,76,4,1.645,-5.15,-79.23,65.28,68.68,-1.19,0.79
78,4.55,77,25,17.393,-5.81,-61.84,55.08,69.37,-1.75,5.36
79,4.58,78,24,1.536,-5.94,-60.3,54.76,69.56,-1.58,6.8
80,4.61,79,23,1.361,-6.02,-59.19,54.24,69.71,-1.75,8.16
81,4.65,80,22,6.379,-6.59,-52.81,51.35,70.69,-1.91,13.06
82,4.68,81,21,1.892,-6.51,-52.9,50.88,70.92,-1.87,14.95
83,4.72,82,20,1.840,-6.64,-53.28,50.86,71.49,-1.94,16.79
84,4.75,83,19,1.602,-6.59,-53.18,51.15,71.96,-1.96,18.39
85,4.78,84,18,1.451,-6.74,-53.46,51.13,72.39,-2.02,19.84
86,4.82,85,17,1.104,-6.67,-53.62,51.19,72.91,-2.0,20.95
87,4.85,86,16,0.989,-6.95,-53.91,51.66,73.33,-2.21,21.94
88,4.88,87,15,0.681,-6.95,-54.34,51.46,73.74,-2.24,22.62
89,4.92,88,14,0.628,-7.2,-54.34,52.01,74.13,-2.27,23.25
90,4.95,89,13,0.517,-7.36,-54.86,51.72,74.33,-2.39,23.7
91,4.98,90,12,0.923,-7.53,-54.48,51.69,74.25,-2.35,24.62
92,5.02,91,11,0.727,-7.32,-55.03,50.97,74.16,-2.42,25.12
93,5.05,92,10,1.564,-7.48,-54.43,51.95,74.18,-2.33,26.69
