action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.87,0,50,,-5.19,-99.54,88.07,74.19,0.05,1.68
2,1.91,1,49,1.291,-4.93,-99.69,86.78,74.12,0.05,1.48
3,1.94,2,48,0.860,-5.7,-100.11,87.64,73.96,0.01,1.3
4,1.97,3,47,0.625,-6.32,-100.45,87.36,73.8,0.04,1.58
5,2.01,4,46,0.702,-6.52,-100.21,88.06,73.77,-0.04,1.34
6,2.04,5,45,0.691,-7.22,-100.12,88.05,73.73,0.09,1.35
7,2.07,6,44,0.268,-7.08,-99.85,87.84,73.78,-0.0,1.32
8,2.11,7,43,0.623,-7.34,-100.47,87.33,73.39,0.09,1.42
9,2.14,8,42,0.223,-7.56,-100.69,87.33,73.33,0.04,1.39
10,2.17,9,41,0.663,-7.61,-101.36,87.59,73.41,-0.02,1.15
11,2.21,10,40,0.619,-8.15,-100.74,87.02,73.49,0.12,1.32
12,2.24,11,39,0.468,-8.43,-100.65,87.49,73.1,-0.07,1.13
13,2.27,12,38,0.467,-8.73,-100.3,87.95,73.44,0.06,1.08
14,2.31,13,37,0.658,-9.39,-100.76,87.61,73.39,0.03,1.23
15,2.34,14,36,0.584,-9.97,-100.98,87.44,73.37,0.07,1.4
16,2.37,15,35,0.624,-10.6,-100.71,86.92,73.42,0.02,1.16
17,2.41,16,34,1.002,-11.6,-100.93,87.59,73.41,0.06,1.17
18,2.44,17,33,0.619,-12.22,-101.09,87.21,73.14,0.03,1.16
19,2.47,18,32,1.211,-13.06,-102.3,87.11,73.24,0.02,1.27
20,2.51,19,31,0.881,-13.94,-102.38,87.23,73.38,-0.04,1.24
21,2.54,20,30,0.792,-14.69,-101.59,86.7,73.24,-0.07,1.13
22,2.58,21,29,0.720,-15.41,-101.74,86.67,73.58,-0.02,1.25
23,2.61,22,28,0.848,-16.26,-102.03,86.94,73.64,0.08,1.13
24,2.64,23,27,0.459,-16.72,-102.1,86.53,73.59,-0.06,1.08
25,2.68,24,26,0.639,-17.36,-102.1,86.93,73.62,0.03,1.16
26,2.71,25,25,0.838,-18.2,-101.48,86.92,73.43,-0.11,1.26
27,2.74,26,24,0.902,-18.67,-102.38,86.33,73.41,-0.04,1.37
28,2.78,27,23,1.117,-19.78,-101.83,87.14,73.39,-0.04,1.3
29,2.81,28,22,1.063,-20.85,-102.68,86.34,73.56,-0.03,1.11
30,2.84,29,21,0.675,-21.52,-102.49,86.53,73.5,-0.04,1.1
31,2.88,30,20,0.921,-22.44,-102.17,86.02,73.39,-0.1,1.06
