action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.71,0,50,,-4.47,-101.64,86.61,74.12,-0.35,0.94
2,1.74,1,49,0.800,-5.02,-101.95,86.26,73.32,-0.4,0.81
3,1.77,2,48,0.322,-4.85,-101.81,86.52,73.0,-0.43,0.93
4,1.81,3,47,0.372,-5.02,-101.95,86.15,72.65,-0.47,0.87
5,1.84,4,46,0.742,-4.66,-101.98,86.11,71.91,-0.6,0.79
6,1.87,5,45,0.462,-4.56,-101.76,86.58,71.95,-0.63,0.86
7,1.91,6,44,0.588,-4.81,-102.25,86.41,71.36,-0.76,0.69
8,1.94,7,43,0.484,-4.33,-102.19,86.17,71.49,-0.81,0.61
9,1.97,8,42,0.553,-4.6,-101.63,85.63,71.76,-0.73,0.81
10,2.01,9,41,0.522,-4.38,-101.37,85.49,71.24,-0.75,0.6
11,2.04,10,40,0.455,-4.74,-101.35,85.58,70.79,-0.67,0.92
12,2.07,11,39,0.494,-4.63,-101.85,85.68,70.62,-0.7,0.91
13,2.11,12,38,0.791,-4.25,-101.92,86.4,69.83,-0.65,0.87
14,2.14,13,37,0.700,-4.95,-101.74,86.4,69.45,-0.73,0.88
15,2.17,14,36,0.469,-4.78,-101.86,85.93,69.38,-0.65,0.94
16,2.21,15,35,0.931,-4.31,-101.5,85.91,68.45,-0.69,0.84
17,2.24,16,34,0.517,-4.35,-101.54,86.0,67.93,-0.76,0.68
18,2.27,17,33,0.476,-4.43,-101.79,85.53,67.79,-0.74,0.78
19,2.31,18,32,0.993,-4.8,-101.78,86.52,67.49,-0.92,0.96
20,2.34,19,31,0.894,-4.8,-101.48,85.63,67.2,-0.65,0.88
21,2.37,20,30,0.386,-4.56,-101.86,85.73,67.18,-0.61,0.92
22,2.41,21,29,0.294,-4.49,-102.16,85.69,67.0,-0.71,0.85
23,2.44,22,28,0.604,-4.45,-101.55,85.13,66.76,-0.8,0.85
24,2.47,23,27,0.973,-4.62,-102.53,85.41,66.34,-0.63,0.89
25,2.51,24,26,0.315,-4.44,-102.29,85.13,66.03,-0.7,0.89
26,2.54,25,25,0.778,-4.09,-101.52,85.75,65.84,-0.58,0.89
27,2.58,26,24,0.376,-4.41,-101.89,85.65,65.59,-0.87,0.87
28,2.61,27,23,0.604,-4.49,-101.32,85.05,64.99,-0.66,0.79
29,2.64,28,22,1.019,-4.38,-102.33,84.8,65.32,-0.65,0.78
30,2.68,29,21,0.458,-4.59,-101.88,84.93,65.55,-0.76,0.7
31,2.71,30,23,4.757,-6.04,-101.21,80.17,66.53,-0.66,0.97
32,2.74,31,22,0.633,-6.03,-101.6,79.54,66.46,-0.63,0.94
33,2.78,32,21,0.829,-5.79,-100.77,79.74,66.12,-0.72,1.01
34,2.81,33,20,0.472,-5.7,-101.24,79.39,65.96,-0.72,0.93
35,2.84,34,19,0.516,-5.79,-101.21,79.82,65.44,-0.74,0.94
36,2.88,35,18,0.357,-5.44,-101.15,80.07,65.23,-0.74,0.92
37,2.91,36,17,0.379,-5.06,-101.43,80.19,65.12,-0.86,0.93
38,2.94,37,16,0.302,-5.27,-101.57,80.09,64.82,-0.93,0.78
39,2.98,38,15,0.633,-4.63,-101.85,80.02,64.8,-0.92,0.95
40,3.01,39,14,0.401,-4.23,-102.12,79.71,64.75,-1.07,0.86
41,3.04,40,13,0.978,-4.07,-101.14,79.6,64.55,-1.06,0.65
42,3.08,41,12,0.517,-4.05,-101.13,79.08,64.63,-1.39,0.75
43,3.11,42,11,0.440,-4.15,-101.55,79.52,64.38,-1.45,0.56
44,3.14,43,10,0.670,-4.24,-101.5,78.85,64.23,-1.78,0.54
45,3.18,44,9,0.610,-4.63,-101.93,78.24,64.22,-2.09,0.6
46,3.21,45,8,0.983,-4.69,-100.95,78.59,63.91,-2.28,0.45
47,3.24,46,7,0.916,-4.73,-100.63,77.67,63.47,-2.53,0.57
48,3.28,47,6,0.891,-4.79,-101.52,77.59,63.31,-2.91,0.66
49,3.31,48,5,0.685,-4.65,-100.83,77.43,63.25,-2.92,0.63
50,3.34,49,4,0.294,-4.64,-100.97,77.73,63.32,-2.74,0.74
51,3.38,50,3,2.020,-4.49,-101.54,75.71,63.28,-3.48,0.75
52,3.41,51,2,0.780,-4.57,-100.76,75.9,63.41,-3.51,0.83
53,3.44,52,1,0.356,-4.58,-100.6,75.94,63.06,-3.52,0.89
54,3.68,53,26,2.199,-5.76,-100.37,77.66,63.88,-1.32,1.15
55,3.71,54,25,0.380,-5.38,-100.02,77.57,63.68,-1.28,1.13
56,3.75,55,24,0.267,-5.49,-99.98,77.48,63.94,-1.24,1.13
57,3.78,56,23,0.501,-5.56,-100.48,77.39,64.08,-1.2,1.09
58,3.81,57,22,0.173,-5.55,-100.47,77.57,64.01,-1.22,1.12
59,3.85,58,21,1.054,-5.67,-99.93,76.51,64.25,-1.15,1.11
60,3.88,59,20,0.611,-5.69,-100.55,76.45,64.53,-1.17,1.11
61,3.91,60,19,0.511,-5.61,-100.68,76.96,64.39,-1.26,1.14
62,3.95,61,18,1.344,-5.68,-99.44,75.62,64.55,-1.14,0.97
63,3.98,62,17,0.957,-5.55,-100.4,74.99,64.97,-1.16,1.16
64,4.01,63,16,1.214,-5.53,-99.42,73.78,65.35,-1.23,1.08
65,4.05,64,15,0.811,-5.53,-100.08,72.97,65.63,-1.09,1.09
66,4.08,65,14,1.028,-5.57,-99.05,72.62,65.78,-1.22,1.13
67,4.11,66,13,0.846,-5.6,-99.58,71.77,66.22,-1.17,1.09
68,4.15,67,12,1.490,-5.52,-98.09,71.19,66.22,-1.19,0.98
69,4.18,68,11,0.367,-5.63,-98.15,71.55,65.99,-1.26,0.99
70,4.21,69,10,1.333,-5.57,-97.14,70.22,65.69,-1.33,0.98
71,4.25,70,9,1.071,-5.38,-96.07,69.54,65.35,-1.38,0.87
72,4.28,71,8,1.335,-5.8,-94.74,69.19,64.97,-1.55,0.96
73,4.31,72,7,1.755,-5.51,-92.98,68.48,64.51,-1.55,0.93
74,4.35,73,6,0.814,-5.69,-92.17,68.51,64.07,-1.87,0.96
75,4.38,74,5,0.809,-5.78,-91.7,67.7,63.68,-2.21,0.78
76,4.41,75,4,0.931,-5.8,-90.77,68.0,63.35,-2.48,0.83
77,4.45,76,3,0.545,-6.03,-90.8,67.46,63.07,-2.61,0.8
78,4.48,77,2,0.356,-6.38,-90.62,67.28,62.98,-2.73,0.84
79,4.52,78,1,0.299,-6.18,-90.76,67.58,62.96,-2.7,0.87
80,4.55,79,23,9.036,-6.43,-81.72,61.98,63.3,-2.82,0.51
81,4.58,80,22,1.878,-6.33,-80.44,60.1,63.68,-2.87,0.61
82,4.62,81,21,1.775,-6.21,-78.66,58.81,64.01,-2.98,0.63
83,4.65,82,20,1.531,-6.18,-77.13,58.02,64.08,-2.96,0.58
84,4.68,83,19,1.692,-6.26,-76.32,56.33,64.47,-3.13,0.62
85,4.72,84,18,1.649,-6.19,-74.67,55.14,65.06,-3.17,0.52
86,4.75,85,17,1.323,-6.26,-73.37,53.82,65.26,-3.33,0.61
87,4.78,86,16,1.937,-6.12,-71.43,52.32,65.5,-3.49,0.53
88,4.82,87,15,1.647,-6.41,-69.78,50.87,66.03,-3.69,0.62
89,4.85,88,14,1.484,-6.25,-68.81,49.39,67.11,-3.83,0.46
90,4.88,89,13,0.820,-6.19,-68.05,48.57,67.49,-4.04,0.43
91,4.92,90,12,1.749,-6.55,-66.3,46.82,68.47,-4.2,0.23
92,4.95,91,11,0.458,-6.23,-66.22,46.36,68.84,-4.65,0.43
93,4.98,92,10,1.371,-6.39,-64.84,46.13,69.66,-4.82,0.35
94,5.02,93,9,2.308,-6.28,-63.19,43.82,69.65,-5.04,0.23
95,5.05,94,8,0.862,-6.36,-63.14,43.76,70.52,-5.36,0.39
96,5.08,95,7,1.535,-6.0,-62.11,42.23,70.91,-5.49,0.34
97,5.12,96,6,0.807,-6.32,-61.69,41.42,71.49,-5.72,0.38
98,5.15,97,5,0.685,-6.48,-61.25,41.23,72.17,-5.73,0.25
99,5.18,98,4,1.260,-6.07,-59.99,40.16,72.36,-5.63,0.27
100,5.22,99,3,0.803,-6.04,-59.8,39.35,72.73,-5.7,0.32
101,5.25,100,2,0.972,-6.3,-58.83,39.54,73.18,-5.67,0.44
102,5.28,101,1,2.049,-6.45,-57.78,37.49,73.43,-5.87,0.28
103,5.45,102,26,12.052,-6.31,-67.18,49.54,68.21,-2.85,0.74
104,5.49,103,25,0.529,-6.41,-67.08,49.38,68.74,-2.89,0.46
105,5.52,104,24,0.346,-6.15,-67.3,49.03,68.93,-2.92,0.72
106,5.55,105,23,0.491,-6.22,-67.23,48.59,69.42,-3.01,0.55
107,5.59,106,22,0.950,-6.47,-66.28,48.22,69.73,-3.03,0.54
108,5.62,107,21,0.394,-6.42,-65.88,48.0,69.84,-3.09,0.53
